"Indicator type","Indicator","Description"
"CIDR","66.203.144.0/24",""
"URL","http://ad.pdb2.com/l/CoFADK0q3Id7J7Tc",""
"URL","https://lhldy.top/",""
"domain","0nwmf7qrr3i9qm0.top",""
"domain","0wiao0svzk16iy8.top",""
"domain","148097211989.com",""
"domain","2235414.cc",""
"domain","2354784.cc",""
"domain","254893324785.com",""
"domain","2mz55gwp2uqm6af.top",""
"domain","3021104.cc",""
"domain","3202125.cc",""
"domain","326131.cc",""
"domain","326161.cc",""
"domain","326171.cc",""
"domain","45484886.com",""
"domain","513391269129.com",""
"domain","5523154.cc",""
"domain","5541241.cc",""
"domain","6214017.cc",""
"domain","6321121.cc",""
"domain","63869.top",""
"domain","6522101.cc",""
"domain","6541147.shop",""
"domain","6568938497.cc",""
"domain","6652487.cc",""
"domain","679245772566.com",""
"domain","6hzl558.icu",""
"domain","713391269115.com",""
"domain","713391269116.com",""
"domain","713391269124.com",""
"domain","713391269129.com",""
"domain","713391269130.com",""
"domain","713391269133.com",""
"domain","713391269135.com",""
"domain","713391269140.com",""
"domain","713391269141.com",""
"domain","713391269145.com",""
"domain","713391269146.com",""
"domain","713391269152.com",""
"domain","7632910.cc",""
"domain","773391269239.com",""
"domain","773391269254.com",""
"domain","773391269267.com",""
"domain","773391269270.com",""
"domain","773391269271.com",""
"domain","773391269272.com",""
"domain","773391269275.com",""
"domain","7784511.shop",""
"domain","7esm1fzremcc6vr.top",""
"domain","80356.vip",""
"domain","823391269119.com",""
"domain","823391269121.com",""
"domain","8843107.cc",""
"domain","888ihz5fk1ms9ua.top",""
"domain","945618287837.com",""
"domain","945618287838.com",""
"domain","945618287839.com",""
"domain","945618287841.com",""
"domain","945618287843.com",""
"domain","945618287844.com",""
"domain","945618287847.com",""
"domain","945618287848.com",""
"domain","945618287856.com",""
"domain","945618287858.com",""
"domain","9653028.cc",""
"domain","amyj02.com",""
"domain","baidu123.icu",""
"domain","baidu5886.com",""
"domain","baiduvip.icu",""
"domain","f9ta8.xyz",""
"domain","gb025vmsqgnzp6n.top",""
"domain","htybpj-i59mkk.com",""
"domain","isx22772.top",""
"domain","jnmbyy1s61aj36a.top",""
"domain","lhldy.top",""
"domain","lsz823ds.top",""
"domain","m392108.top",""
"domain","m664031.top",""
"domain","ud1hmnx1caocg6c.top",""
"domain","v1rwjzqnutqw5x2.top",""
"domain","v987231.top",""
"domain","we084985894126.cc",""
