"Indicator type","Indicator","Description"
"URL","https://twelvestrain.com",""
"URL","https://airyversed.com",""
"URL","https://notiontruck.com",""
"URL","https://bubbleradical.com",""
"URL","https://foulcrank.com",""
"URL","https://wreathcrossbow.com",""
"URL","https://artificefarm.com",""
"URL","https://toothpartly.com",""
"URL","https://witherdagger.com",""
"URL","https://beetlespoil.com",""
"URL","https://dividingwhistle.com",""
"URL","https://jaundiceplant.com",""
"URL","https://whisperalphabet.com",""
"URL","https://cantshall.com",""
"URL","https://daggeron.com",""
"URL","https://mistakengiddy.com",""
"URL","https://producebehave.com",""
"URL","https://hallsmoky.com",""
"URL","https://failingbraid.com",""
"URL","https://creditorsound.com",""
"URL","https://preacherdecisiv.com",""
"URL","https://operateepidemic.com",""
"URL","https://seatstudied.com",""
"URL","https://boilerquarry.com",""
"URL","https://abandonclasp.com",""
"URL","https://ordnanceparapet.com",""
"URL","https://closelydenote.com",""
"URL","https://becausedrawing.com",""
"URL","https://sixteenpump.com",""
"URL","https://pardonpromise.com",""
"URL","https://resistteach.com",""
"URL","https://thereleap.com",""
"URL","https://whichsustain.com",""
"URL","https://learnedburst.com",""
"URL","https://yieldingtenor.com",""
"URL","https://salmonaffirm.com",""
"URL","https://trinityassign.com",""
"URL","https://wreckvitality.com",""
"URL","https://intendedshut.com",""
"URL","https://unlawfulinfusio.com",""
"URL","https://openingdrag.com",""
"URL","https://exertfeeble.com",""
"URL","https://involvecontrary.com",""
"URL","https://regionspill.com",""
"URL","https://discountnerve.com",""
"URL","https://spaceslowly.com",""
"URL","https://humansentence.com",""
"URL","https://spindleforfeit.com",""
"URL","https://pendulumdisgrac.com",""
"URL","https://unworthyconfirm.com",""
"URL","https://fitnessrear.com",""
"URL","https://butsingular.com",""
"URL","https://forepenalty.com",""
"URL","https://shallowprovoke.com",""
"URL","https://windlasstruss.com",""
"URL","https://seasongrave.com",""
"URL","https://preserveforetel.com",""
"URL","https://rosemounted.com",""
"URL","https://blockconsider.com",""
"URL","https://squanderpull.com",""
"URL","https://exaltedangry.com",""
"URL","https://sanskritvexatio.com",""
"URL","https://tokenhasty.com",""
"URL","https://trianglefruitfu.com",""
"URL","https://flexibleupward.com",""
"URL","https://extendfrom.com",""
"URL","https://registerhollow.com",""
"URL","https://savorname.com",""
"URL","https://igneousrelax.com",""
"URL","https://shoaleast.com",""
"URL","https://combineexecute.com",""
"URL","https://historydeposit.com",""
"URL","https://stiflerelieve.com",""
"URL","https://feversprinkle.com",""
"URL","https://bathevening.com",""
"URL","https://numberscoast.com",""
"URL","https://writingbestow.com",""
"URL","https://blanchflank.com",""
"URL","https://monopolymortify.com",""
"URL","https://poundtesting.com",""
"URL","https://inhabitduty.com",""
"URL","https://splendidreject.com",""
"URL","https://expellocation.com",""
"URL","https://probablyfroth.com",""
"URL","https://sensibletubular.com",""
"URL","https://flagincluded.com",""
"URL","https://insideuncover.com",""
"URL","https://fertilelining.com",""
"URL","https://suckerdeceive.com",""
"URL","https://grainvalid.com",""
"URL","https://discusskeep.com",""
"URL","https://inducehurt.com",""
"URL","https://measurescotch.com",""
"URL","https://studiedstroke.com",""
"URL","https://commandwatchful.com",""
"URL","https://creeperplead.com",""
"URL","https://girdlevocal.com",""
"URL","https://reckoncheck.com",""
"URL","https://groundovercome.com",""
"URL","https://partisanfrighte.com",""
"URL","https://reliefhydrogen.com",""
"URL","https://hackneycombine.com",""
"URL","https://behindupright.com",""
"URL","https://warrantomission.com",""
"URL","https://abortionpopular.com",""
"URL","https://speciesdisagree.com",""
"URL","https://balanceequator.com",""
"URL","https://invasionwhence.com",""
"URL","https://bosombracket.com",""
"URL","https://etherealstomach.com",""
"URL","https://ripeclay.com",""
"URL","https://gratefulvenomou.com",""
"URL","https://puppetlodging.com",""
"URL","https://someconfuse.com",""
"URL","https://snappasture.com",""
"URL","https://alkaloidaccusto.com",""
"URL","https://movablememorial.com",""
"URL","https://tillshedding.com",""
"URL","https://potentoverflow.com",""
"URL","https://bracelodging.com",""
"URL","https://endlessremain.com",""
"URL","https://burninterest.com",""
"URL","https://thumbsailing.com",""
"URL","https://balloonvariable.com",""
"URL","https://crossingburst.com",""
"URL","https://raisingperplex.com",""
"URL","https://validbeat.com",""
"URL","https://angulartribute.com",""
"URL","https://coffinpronoun.com",""
"URL","https://defaultfuneral.com",""
"URL","https://ciphertartar.com",""
"URL","https://arrangesnow.com",""
"URL","https://fightconfuse.com",""
"URL","https://diminishunstabl.com",""
"URL","https://externaluneasy.com",""
"URL","https://shiprelation.com",""
"URL","https://weakenfeather.com",""
"URL","https://dislikefall.com",""
"URL","https://greenishliberal.com",""
"URL","https://affixtissue.com",""
"URL","https://wreathfullness.com",""
"URL","https://cockoutside.com",""
"URL","https://infamousupright.com",""
"URL","https://tearestate.com",""
"URL","https://boastingivory.com",""
"URL","https://esteemauthor.com",""
"URL","https://imagekindly.com",""
"URL","https://standingsplendo.com",""
"URL","https://stomachinflated.com",""
"URL","https://railwhite.com",""
"URL","https://solutiongratefu.com",""
"URL","https://relateversion.com",""
"URL","https://dissolveassumed.com",""
"URL","https://flexibletide.com",""
"URL","https://merryentreaty.com",""
"URL","https://youngcompel.com",""
"URL","https://localityclothes.com",""
"URL","https://pearlytreatise.com",""
"URL","https://switchrust.com",""
"URL","https://mercuryfineness.com",""
"URL","https://drinkaccuse.com",""
"URL","https://clausestanding.com",""
"URL","https://planepartake.com",""
"URL","https://streakdelicate.com",""
"URL","https://nailadhesion.com",""
"URL","https://inheritrelative.com",""
"URL","https://offsetthan.com",""
"URL","https://seminaryimprope.com",""
"URL","https://soundingconceal.com",""
"URL","https://dyingfeather.com",""
"URL","https://insaneabortive.com",""
"URL","https://masonrysuspend.com",""
"URL","https://nationsalmon.com",""
"URL","https://symptomroller.com",""
"URL","https://iniquityfashion.com",""
"URL","https://valleystaple.com",""
"URL","https://typecruelty.com",""
"URL","https://oncechamber.com",""
"URL","https://cordialeffusion.com",""
"URL","https://infirmromance.com",""
"URL","https://crimsonfence.com",""
"URL","https://hydrateresemble.com",""
"URL","https://adherentjuice.com",""
"URL","https://carbonicchain.com",""
"URL","https://castleswell.com",""
"URL","https://grievoussymmetr.com",""
"URL","https://pungentcheek.com",""
"URL","https://followpluck.com",""
"URL","https://prettytwelfth.com",""
"URL","https://valuabledeep.com",""
"URL","https://othercensure.com",""
"URL","https://serpentforcible.com",""
"URL","https://inwardbearer.com",""
"URL","https://prodigalfierce.com",""
"URL","https://unevenflash.com",""
"URL","https://composeconfirm.com",""
"URL","https://workingthicken.com",""
"URL","https://pileinflate.com",""
"URL","https://slacksilicon.com",""
"URL","https://thrushangles.com",""
"URL","https://compoundrationa.com",""
"URL","https://arcticgreatly.com",""
"URL","https://boaststeel.com",""
"URL","https://enamelexcavate.com",""
"URL","https://wellecstasy.com",""
"URL","https://opticalmisery.com",""
"URL","https://wisdomlance.com",""
"URL","https://prodigalelephan.com",""
"URL","https://flavorgratify.com",""
"URL","https://orientaldistast.com",""
"URL","https://sheathboast.com",""
"URL","https://tillerratio.com",""
"URL","https://hastyshadow.com",""
"URL","https://twofoldpride.com",""
"URL","https://coveringflatter.com",""
"URL","https://volumeoutrage.com",""
"URL","https://intendedroundis.com",""
"URL","https://indiananimated.com",""
"URL","https://dispatchcrisp.com",""
"URL","https://delightdoctor.com",""
"URL","https://agilityboasting.com",""
"URL","https://facteager.com",""
"URL","https://homedefiance.com",""
"URL","https://invalidfeeding.com",""
"URL","https://tuftweak.com",""
"URL","https://sphereeleventh.com",""
"URL","https://printemit.com",""
