Indicator type,Indicator,Description
CIDR,66.203.144.0/24,
CIDR,103.232.220.0/22,
CIDR,103.232.220.0/24,
CIDR,103.232.221.0/24,
CIDR,103.232.222.0/24,
CIDR,103.232.223.0/24,
CIDR,103.85.252.0/22,
CIDR,103.85.252.0/24,
CIDR,103.85.253.0/24,
CIDR,103.85.254.0/24,
CIDR,103.85.255.0/24,
CIDR,103.93.124.0/22,
CIDR,103.93.124.0/24,
CIDR,103.93.125.0/24,
CIDR,103.93.126.0/24,
CIDR,103.93.127.0/24,
CIDR,116.204.156.0/22,
CIDR,116.204.156.0/24,
CIDR,116.204.157.0/24,
CIDR,116.204.158.0/24,
CIDR,116.204.159.0/24,
CIDR,147.92.32.0/20,
CIDR,147.92.32.0/24,
CIDR,147.92.33.0/24,
CIDR,147.92.34.0/24,
CIDR,147.92.35.0/24,
CIDR,147.92.36.0/24,
CIDR,147.92.37.0/24,
CIDR,147.92.38.0/24,
CIDR,147.92.39.0/24,
CIDR,147.92.40.0/24,
CIDR,147.92.41.0/24,
CIDR,147.92.42.0/24,
CIDR,147.92.43.0/24,
CIDR,147.92.44.0/24,
CIDR,147.92.45.0/24,
CIDR,147.92.46.0/24,
CIDR,147.92.47.0/24,
CIDR,203.109.56.0/22,
CIDR,203.109.56.0/24,
CIDR,203.109.57.0/24,
CIDR,203.109.58.0/24,
CIDR,203.109.59.0/24,
CIDR,207.148.32.0/20,
CIDR,207.148.32.0/24,
CIDR,207.148.33.0/24,
CIDR,207.148.34.0/24,
CIDR,207.148.35.0/24,
CIDR,207.148.36.0/24,
CIDR,207.148.37.0/24,
CIDR,207.148.38.0/24,
CIDR,207.148.39.0/24,
domain,aqnydmk.com,
domain,boitjexv.com,
domain,boiyddt.com,
domain,fonetmo.com,
domain,hhxbpgz.com,
domain,hmuwsxk.com,
domain,ifpzppt.com,
domain,mqmkpfr.com,
domain,msewiha.com,
domain,nmwbmqi.com,
domain,xaobyxu.com,
domain,xdcgvsh.com,
domain,xezngrj.com,
domain,xgwxwkz.com,
domain,xijeuvo.com,
domain,xkgruyz.com,
domain,xlaweyt.com,
domain,xlrjakm.com,
domain,xnqscwe.com,
domain,xofmibi.com,
domain,xowipyb.com,
domain,xpugimp.com,
domain,xpxwzcr.com,
domain,xqpjdvc.com,
domain,xqrxnhb.com,
domain,xqutiur.com,
domain,xruzdfu.com,
domain,xxhiwuo.com,
domain,xyqkpxc.com,
domain,xzfgczw.com,
domain,zgphjqp.com,
domain,2z7rpv.info,
domain,3grjay.com,
domain,4l0wt3.com,
domain,8wkg3s.com,
domain,8yueo1.info,
domain,aabzflu.com,
domain,aadhkhm.com,
domain,aahrywy.com,
domain,aalhlpr.com,
domain,aanzkzi.com,
domain,aasuaeg.com,
domain,aavorzz.com,
domain,aavqqwj.com,
domain,aawgqqn.com,
domain,abfgymz.com,
domain,abhcapg.com,
domain,abkbgnk.com,
domain,abprjfc.com,
domain,abrrfzf.com,
domain,abtcwgi.com,
domain,abtlgrb.com,
domain,acczsbt.com,
domain,acehehc.com,
domain,achbaac.com,
domain,achcuzb.com,
domain,achuyae.com,
domain,acieylo.com,
domain,acjjjum.com,
domain,ackhzzw.com,
domain,acmigjt.com,
domain,acpafnm.com,
domain,acrydpo.com,
domain,actmhjz.com,
domain,actrquk.com,
domain,acvdijy.com,
domain,acwiyye.com,
domain,acyljtf.com,
domain,aczxvvv.com,
domain,adbbpmj.com,
domain,adcdqrm.com,
domain,adcrzyj.com,
domain,addoczs.com,
domain,adgqnge.com,
domain,adhhfcz.com,
domain,adizgmh.com,
domain,adjfbpu.com,
domain,adjxqmr.com,
domain,adkjhha.com,
domain,adkpcdf.com,
domain,admrprs.com,
domain,adoyuwt.com,
domain,adppsrj.com,
domain,adttzjh.com,
domain,aduhryd.com,
domain,adzgjqn.com,
domain,adzifwh.com,
domain,adzozab.com,
domain,aebaatw.com,
domain,aebhnnx.com,
domain,aeekulz.com,
domain,aefbmcm.com,
domain,aefnqrv.com,
domain,aegngop.com,
domain,aegqjgg.com,
domain,aehvtjv.com,
domain,aekjnbw.com,
domain,aeldetb.com,
domain,aemlrbf.com,
domain,aeqhulc.com,
domain,aerluvc.com,
domain,aevkfge.com,
domain,afbknbr.com,
domain,afcvtnf.com,
domain,afdnhbl.com,
domain,affcmxr.com,
domain,affvheb.com,
domain,afhcwly.com,
domain,afidsbi.com,
domain,afiydkf.com,
domain,afjebbr.com,
domain,afnwnss.com,
domain,afofgke.com,
domain,afscaag.com,
domain,afstxls.com,
domain,afsypfj.com,
domain,afuckpz.com,
domain,afwgumq.com,
domain,afwlqsl.com,
domain,afyjvot.com,
domain,agaqmgp.com,
domain,agckuzz.com,
domain,agcufyj.com,
domain,ageamgc.com,
domain,agemerk.com,
domain,ageqyic.com,
domain,agkhhgh.com,
