"Indicator type","Indicator","Description"
"domain","teamtrump.vip",""
"domain","24-nh.com",""
"domain","24-schmitt.com",""
"domain","aipac-24.com",""
"domain","ballot22.org",""
"domain","bluetored24.com",""
"domain","da-07.com",""
"domain","dm24.us",""
"domain","flag-pin.org",""
"domain","flagpin.net",""
"domain","gop-us24.com",""
"domain","haley24.net",""
"domain","hogan-md.com",""
"domain","hogan4md.org",""
"domain","mcguireresearchtext.com",""
"domain","mcguiretextsurveys.com",""
"domain","missouri-24.com",""
"domain","mo-24.org",""
"domain","nh-24.org",""
"domain","nh24.co",""
"domain","nhwin.org",""
"domain","red-mo.com",""
"domain","red-us24.com",""
"domain","red-win24.com",""
"domain","redtx24.com",""
"domain","redtx24.org",""
"domain","truth-social.org",""
"domain","win4tx.com",""
"domain","win4tx.org",""
"domain","wintxs.com",""
"URL","http://24-nh.com/",""
"URL","http://ballot22.org/",""
"URL","http://dm24.us/",""
"URL","http://haley24.net/",""
"URL","http://mcguiretextsurveys.com/",""
"URL","http://nh-24.org/ts60k6",""
"URL","http://nh24.co/",""
"URL","http://teamtrump.vip/",""
"URL","http://wintxs.com/",""
"URL","https://haley24.net/",""
"URL","https://mcguiretextsurveys.com/",""
"URL","https://nh24.co/",""
"URL","https://nh24.co/%20T9NM4",""
"URL","https://nhwin.org/DwplkF",""
"URL","https://nhwin.org/gJkl5/",""
"URL","https://teamtrump.vip/AuorJ/",""
"URL","https://wintxs.com/",""
"URL","http://teamtrump.vip/AuorJ",""
"URL","http://teamtrump.vip/vgkzF",""
"URL","https://teamtrump.vip/4AvJ6",""
"URL","https://teamtrump.vip/Cs6Ba",""
"URL","https://teamtrump.vip/PaWbW",""
"URL","https://teamtrump.vip/xVnM2",""
"URL","http://24-nh.com/jjMg0",""
"URL","http://24-nh.com/zqMYd",""
"URL","https://mcguireresearchtext.com/Tu6v",""
"URL","http://hogan4md.org/0Qt63",""
"URL","https://nh-24.org/ABC3JW",""
"URL","https://nh-24.org/BUxZO",""
"URL","https://nh-24.org/DnvNsz",""
"URL","https://nh-24.org/MWFyK",""
"URL","https://nh-24.org/XjeOW",""
"URL","https://nh-24.org/nb5o3",""
"URL","https://www.nh-24.org/JdUhOj",""
"URL","https://nh24.co/T9NM4",""
"URL","https://nhwin.org/1sei37",""
"URL","https://nhwin.org/G0IT1",""
"URL","https://nhwin.org/QnqXJ",""
"URL","https://nhwin.org/Sgt8s",""
