"Indicator type","Indicator","Description"
"URL","http://upoyuz.com",""
"URL","http://abacat.online",""
"URL","http://abuxud.online",""
"URL","http://acitol.online",""
"URL","http://acubad.online",""
"URL","http://afacog.online",""
"URL","http://afiboz.online",""
"URL","http://afiniv.online",""
"URL","http://agurew.online",""
"URL","http://ahakoy.online",""
"URL","http://ahehac.online",""
"URL","http://ahijuv.online",""
"URL","http://ajejir.online",""
"URL","http://ajeled.online",""
"URL","http://ajomez.online",""
"URL","http://ajufur.online",""
"URL","http://akezix.online",""
"URL","http://alipub.online",""
"URL","http://alogab.online",""
"URL","http://aluxih.online",""
"URL","http://amafor.online",""
"URL","http://amemok.online",""
"URL","http://amohov.online",""
"URL","http://amuboj.online",""
"URL","http://anusij.online",""
"URL","http://apadup.online",""
"URL","http://arawiy.online",""
"URL","http://areciy.online",""
"URL","http://arepom.online",""
"URL","http://asubam.online",""
"URL","http://atitis.online",""
"URL","http://atozos.online",""
"URL","http://atumev.online",""
"URL","http://avajan.online",""
"URL","http://aviyag.online",""
"URL","http://awexip.online",""
"URL","http://axemuk.online",""
"URL","http://axiruw.online",""
"URL","http://ayewab.online",""
"URL","http://ayovef.online",""
"URL","http://azetir.online",""
"URL","http://ebijef.online",""
"URL","http://ebokik.online",""
"URL","http://ecutix.online",""
"URL","http://edagas.online",""
"URL","http://edohac.online",""
"URL","http://edoyov.online",""
"URL","http://efatit.online",""
"URL","http://egarir.online",""
"URL","http://egokig.online",""
"URL","http://ehamat.online",""
"URL","http://ehelaj.online",""
"URL","http://ehosek.online",""
"URL","http://ekagap.online",""
"URL","http://ekalet.online",""
"URL","http://ekazax.online",""
"URL","http://ekiziy.online",""
"URL","http://elehow.online",""
"URL","http://eloxaz.online",""
"URL","http://emiham.online",""
"URL","http://emomox.online",""
"URL","http://emumax.online",""
"URL","http://enejuy.online",""
"URL","http://enuzot.online",""
"URL","http://epanil.online",""
"URL","http://epegug.online",""
"URL","http://epifud.online",""
"URL","http://epociy.online",""
"URL","http://epupah.online",""
"URL","http://eretuw.online",""
"URL","http://erijol.online",""
"URL","http://erinoj.online",""
"URL","http://erizej.online",""
"URL","http://erobif.online",""
"URL","http://esamux.online",""
"URL","http://esoxon.online",""
"URL","http://etafid.online",""
"URL","http://etekur.online",""
"URL","http://etuluj.online",""
"URL","http://etuxim.online",""
"URL","http://evihuv.online",""
"URL","http://evubas.online",""
"URL","http://ewisab.online",""
"URL","http://ewolek.online",""
"URL","http://ewurep.online",""
"URL","http://exafed.online",""
"URL","http://exahig.online",""
"URL","http://exibek.online",""
"URL","http://exijaj.online",""
"URL","http://exipaw.online",""
"URL","http://eyidij.online",""
"URL","http://eyofoc.online",""
