"Indicator type","Indicator","Description"
"URL","http://fixedto.day",""
"URL","http://tigered.day",""
"URL","http://abnormalpurity.photography",""
"URL","http://abortionconsign.financial",""
"URL","http://absorbunlucky.financial",""
"URL","http://abusiveelastic.financial",""
"URL","http://acquiregracious.technology",""
"URL","http://acridnear.observer",""
"URL","http://adherentscore.international",""
"URL","http://adorndecree.singles",""
"URL","http://advancerange.financial",""
"URL","http://adversepool.productions",""
"URL","http://adversesour.financial",""
"URL","http://advocatemaster.financial",""
"URL","http://agentenlarge.ventures",""
"URL","http://alonghundred.international",""
"URL","http://alongstrained.melbourne",""
"URL","http://alphabetparish.financial",""
"URL","http://anxietyturkish.systems",""
"URL","http://anythingprint.photography",""
"URL","http://aparthood.international",""
"URL","http://aperturesponge.financial",""
"URL","http://appealbut.productions",""
"URL","http://appetiteexertion.melbourne",""
"URL","http://armsquail.international",""
"URL","http://arrestlight.systems",""
"URL","http://arriverustic.financial",""
"URL","http://ascenddiscover.international",""
"URL","http://aspiratehundred.financial",""
"URL","http://assentstratum.international",""
"URL","http://attendedcharity.international",""
"URL","http://attorneysulphate.international",""
"URL","http://attractearly.systems",""
"URL","http://auctionchanging.financial",""
"URL","http://awkwardgrains.productions",""
"URL","http://baggagebreathe.international",""
"URL","http://balancehealthy.international",""
"URL","http://ballleather.international",""
"URL","http://baptismfeudal.financial",""
"URL","http://bargainmagnify.financial",""
"URL","http://barreldivision.financial",""
"URL","http://bassexactly.financial",""
"URL","http://bearinginclosed.international",""
"URL","http://beastspecies.financial",""
"URL","http://blowmoist.financial",""
"URL","http://bondageschool.international",""
"URL","http://bonesilent.financial",""
"URL","http://braidability.international",""
"URL","http://brakesignal.financial",""
"URL","http://branchenforce.singles",""
"URL","http://branchidle.international",""
"URL","http://breachsomewhat.financial",""
"URL","http://breedingupward.financial",""
"URL","http://broadcanal.international",""
"URL","http://broughtcautious.financial",""
"URL","http://broughtshepherd.international",""
"URL","http://bunchlivery.technology",""
"URL","http://buryfalsely.financial",""
"URL","http://bushswim.financial",""
"URL","http://callspot.international",""
"URL","http://cankerhanging.financial",""
"URL","http://canvassstreet.financial",""
"URL","http://capitalcontent.financial",""
"URL","http://capitalsuffix.international",""
"URL","http://carbonwhole.international",""
"URL","http://carriedminister.international",""
"URL","http://carrierdefinite.financial",""
"URL","http://carryingthunder.financial",""
"URL","http://causeinserted.productions",""
"URL","http://cavityhonor.financial",""
"URL","http://changingacquire.financial",""
"URL","http://charterglass.financial",""
"URL","http://checkuniverse.financial",""
"URL","http://chestpeduncle.photography",""
"URL","http://chieflyintimate.financial",""
"URL","http://chiselfracture.financial",""
"URL","http://chlorinecurrency.international",""
"URL","http://circlefound.financial",""
"URL","http://citychannel.financial",""
"URL","http://cloakcatholic.financial",""
"URL","http://clothingcanker.international",""
"URL","http://clutchprick.international",""
"URL","http://coatpalliate.singles",""
"URL","http://colonyfavor.financial",""
"URL","http://colormole.international",""
"URL","http://compassdirty.productions",""
"URL","http://compelloathing.financial",""
"URL","http://composepenitent.technology",""
"URL","http://conductplain.international",""
"URL","http://confinerelated.financial",""
"URL","http://congressobtained.financial",""
"URL","http://consignpart.financial",""
"URL","http://consultbase.technology",""
"URL","http://contactvomit.financial",""
"URL","http://cottonbias.financial",""
"URL","http://cottonfighting.financial",""
"URL","http://cowardlyspecious.financial",""
"URL","http://craniumtincture.international",""
"URL","http://creatureheedless.financial",""
"URL","http://creaturemustard.international",""
"URL","http://criminalblossom.international",""
"URL","http://criticweak.international",""
"URL","http://curtainheap.international",""
"URL","http://dangeraccuracy.financial",""
"URL","http://dangernail.international",""
"URL","http://darknesscheek.photography",""
"URL","http://dateoperate.financial",""
"URL","http://debtunjust.financial",""
"URL","http://decayedconsent.international",""
"URL","http://defectdistrust.financial",""
"URL","http://delicateflexible.financial",""
"URL","http://deliverdescend.financial",""
"URL","http://densepriest.international",""
"URL","http://deviateextract.financial",""
"URL","http://devotionnoted.international",""
"URL","http://dietposture.international",""
"URL","http://dilutehelp.ventures",""
"URL","http://diminishincline.international",""
"URL","http://discordshrill.financial",""
"URL","http://dismalbring.melbourne",""
"URL","http://dismisswrinkle.financial",""
"URL","http://dispensefamily.singles",""
"URL","http://distantreducing.financial",""
"URL","http://diurnalintrigue.financial",""
"URL","http://dividedcase.photography",""
"URL","http://divisionpalatine.financial",""
"URL","http://doingscramble.melbourne",""
"URL","http://dolphinromance.systems",""
"URL","http://dorsalcovered.systems",""
"URL","http://dorsalspeaker.financial",""
"URL","http://doubletbelief.international",""
"URL","http://doubtaffinity.melbourne",""
"URL","http://doubtfulsweet.international",""
"URL","http://downcoat.financial",""
"URL","http://dressfloating.photography",""
"URL","http://drinkingoccur.financial",""
"URL","http://durationimprove.international",""
"URL","http://duringnote.international",""
"URL","http://eclipseridge.international",""
"URL","http://efficacyenergy.international",""
"URL","http://eightresident.financial",""
"URL","http://elephantsmother.financial",""
"URL","http://elevatorinferior.international",""
"URL","http://emissiondish.technology",""
"URL","http://endingtouching.financial",""
"URL","http://endurevirgin.singles",""
"URL","http://engineblister.photography",""
"URL","http://enlargenerve.financial",""
"URL","http://enlargesixteen.melbourne",""
"URL","http://envysanction.international",""
"URL","http://epochenlarged.financial",""
"URL","http://etherinduce.international",""
"URL","http://exactmeal.international",""
"URL","http://excavatebodies.financial",""
"URL","http://exceedfierce.financial",""
"URL","http://excusebladder.technology",""
"URL","http://exemptsoldier.financial",""
"URL","http://existvertebra.international",""
"URL","http://factpreach.systems",""
"URL","http://familiarsubdued.technology",""
"URL","http://fastenedlathe.financial",""
"URL","http://feedingcrescent.financial",""
"URL","http://fellowthrush.international",""
"URL","http://femininemere.financial",""
"URL","http://festivalperfect.singles",""
"URL","http://feverbastion.singles",""
"URL","http://fittingthink.financial",""
"URL","http://flaskexpand.international",""
"URL","http://flavoredobscure.international",""
"URL","http://flavoredslack.financial",""
"URL","http://floweach.international",""
"URL","http://forbiddepend.financial",""
"URL","http://foreshowgranular.singles",""
"URL","http://forfeitinsult.international",""
"URL","http://formallytouch.financial",""
"URL","http://formingwriter.systems",""
"URL","http://foulsuccess.financial",""
"URL","http://fourteenopinion.international",""
"URL","http://franktransfer.financial",""
"URL","http://frenchreserved.financial",""
"URL","http://fullycake.international",""
"URL","http://fundmasonry.financial",""
"URL","http://funeralconfirm.financial",""
"URL","http://furtherrestrict.financial",""
"URL","http://gaseousdeny.financial",""
"URL","http://generarenounce.financial",""
"URL","http://geometrysupport.melbourne",""
"URL","http://gloomypervert.financial",""
"URL","http://governorfitness.melbourne",""
"URL","http://grammarmirror.international",""
"URL","http://graniteactual.international",""
"URL","http://granitepursue.international",""
"URL","http://gratepencil.financial",""
"URL","http://gratinganimate.financial",""
"URL","http://greatlymark.financial",""
"URL","http://grieveprice.ventures",""
"URL","http://grindsnuff.financial",""
"URL","http://gripelime.financial",""
"URL","http://harshobtained.bargains",""
"URL","http://haughtyratio.financial",""
"URL","http://hauloyster.systems",""
"URL","http://heavenspirit.international",""
"URL","http://hebrewround.financial",""
"URL","http://hesitateswitch.financial",""
"URL","http://hirripo.xyz",""
"URL","http://honorarydisclose.financial",""
"URL","http://honorresinous.financial",""
"URL","http://hookednonsense.financial",""
"URL","http://hookedsurety.international",""
"URL","http://hoopconsist.financial",""
"URL","http://houndterminal.financial",""
"URL","http://housecheek.financial",""
"URL","http://hydrogenharangue.international",""
"URL","http://identityaddress.financial",""
"URL","http://idleowner.singles",""
"URL","http://immerseengraved.financial",""
"URL","http://impulselocation.productions",""
"URL","http://impulsewild.international",""
"URL","http://impurederived.ventures",""
"URL","http://inactivevexation.financial",""
"URL","http://incidentesteem.melbourne",""
"URL","http://increasepaint.financial",""
"URL","http://indentdecrease.financial",""
"URL","http://indulgewalking.financial",""
"URL","http://infantfortify.financial",""
"URL","http://infernaltemple.financial",""
"URL","http://infinitesecrecy.financial",""
"URL","http://inflatedconical.melbourne",""
"URL","http://infusioncover.financial",""
"URL","http://infusionsucking.international",""
"URL","http://injuresermon.download",""
"URL","http://insectthirty.financial",""
"URL","http://insertedflux.international",""
"URL","http://insultflame.systems",""
"URL","http://intendedrequite.international",""
"URL","http://invalidtenor.financial",""
"URL","http://italiandrunken.financial",""
"URL","http://ivoryviscid.financial",""
"URL","http://killconceive.photography",""
"URL","http://kindcoin.international",""
"URL","http://kindnesswild.international",""
"URL","http://knowinggospel.international",""
"URL","http://knowleast.international",""
"URL","http://ladypregnant.financial",""
"URL","http://landunlawful.financial",""
"URL","http://lathestately.financial",""
"URL","http://leanpitch.financial",""
"URL","http://lionbail.financial",""
"URL","http://livingtrinity.international",""
"URL","http://lodgesublime.international",""
"URL","http://loudrecent.technology",""
"URL","http://machineunit.financial",""
"URL","http://magazinerake.melbourne",""
"URL","http://maidenpiercing.productions",""
"URL","http://majoritystale.financial",""
"URL","http://makingdeer.financial",""
"URL","http://malehope.productions",""
"URL","http://mammaliamineral.technology",""
"URL","http://managerindustry.financial",""
"URL","http://manageseveral.systems",""
"URL","http://manybringing.international",""
"URL","http://manyfight.financial",""
"URL","http://meadowrust.productions",""
"URL","http://mealremember.financial",""
"URL","http://measuredlying.bargains",""
"URL","http://medicalcausing.singles",""
"URL","http://medicalyoke.ventures",""
"URL","http://medicinesilent.financial",""
"URL","http://meetingplaced.financial",""
"URL","http://mentalconquest.financial",""
"URL","http://mentionartless.international",""
"URL","http://mercuryhabitual.productions",""
"URL","http://mightheadlong.financial",""
"URL","http://mildhearing.financial",""
"URL","http://minddirect.international",""
"URL","http://minemother.financial",""
"URL","http://ministerbasic.financial",""
"URL","http://missilepalliate.financial",""
"URL","http://moderatesymbol.bargains",""
"URL","http://modestyalienate.financial",""
"URL","http://modifysanguine.ventures",""
"URL","http://moistenbetray.financial",""
"URL","http://moldingdecided.financial",""
"URL","http://momentendless.financial",""
"URL","http://monkeymelody.melbourne",""
"URL","http://monopolypickle.financial",""
"URL","http://monthwillow.financial",""
"URL","http://moralrudder.financial",""
"URL","http://mothshower.financial",""
"URL","http://movablearsenic.financial",""
"URL","http://nasalframe.photography",""
"URL","http://neatboiling.productions",""
"URL","http://neckadvice.financial",""
"URL","http://observerpointing.international",""
"URL","http://occurcare.financial",""
"URL","http://offenderhorizon.international",""
"URL","http://offeringasunder.productions",""
"URL","http://offeringthink.melbourne",""
"URL","http://opticalmitigate.financial",""
"URL","http://ordinaryupward.international",""
"URL","http://organismseizing.financial",""
"URL","http://outermarking.international",""
"URL","http://overbreech.financial",""
"URL","http://overlookviolate.financial",""
"URL","http://painterlathe.international",""
"URL","http://paintkilling.international",""
"URL","http://palatealliance.singles",""
"URL","http://parishhonorary.financial",""
"URL","http://partisanassert.financial",""
"URL","http://partlyunctuous.singles",""
"URL","http://partyfurnace.financial",""
"URL","http://pendulumsoul.financial",""
"URL","http://penitentwater.international",""
"URL","http://pigeonnarrowly.financial",""
"URL","http://pistonwhole.financial",""
"URL","http://plasterwork.financial",""
"URL","http://pleadreckless.singles",""
"URL","http://pluckarmor.international",""
"URL","http://plumevain.melbourne",""
"URL","http://poolhooked.financial",""
"URL","http://potashdistrain.financial",""
"URL","http://potashpledge.financial",""
"URL","http://povertypink.international",""
"URL","http://powerdrying.bargains",""
"URL","http://preachercity.financial",""
