"Indicator type","Indicator","Description"
"URL","http://fixingthis.info",""
"URL","http://usebabis.online",""
"URL","http://13a.online",""
"URL","http://16a.online",""
"URL","http://23a.online",""
"URL","http://25a.online",""
"URL","http://abandonclasp.com",""
"URL","http://abdomenmentally.com",""
"URL","http://acrosstesting.com",""
"URL","http://acutefleet.com",""
"URL","http://adherentjuice.com",""
"URL","http://adhereunited.com",""
"URL","http://adjustcharter.com",""
"URL","http://affixknock.com",""
"URL","http://affixtissue.com",""
"URL","http://agilityboasting.com",""
"URL","http://agitatemagnetic.com",""
"URL","http://airyversed.com",""
"URL","http://albuminnormal.com",""
"URL","http://alcoholpigment.com",""
"URL","http://alloweighth.com",""
"URL","http://alphabetcrush.com",""
"URL","http://ambitionchalk.com",""
"URL","http://ammoniadecision.com",""
"URL","http://analogyfund.com",""
"URL","http://ancestorflute.com",""
"URL","http://ancientrough.com",""
"URL","http://angulartribute.com",""
"URL","http://anilinefigured.com",""
"URL","http://apronadhesive.com",""
"URL","http://arcticgreatly.com",""
"URL","http://armypungent.com",""
"URL","http://aroundbony.com",""
"URL","http://arrangedpicture.com",""
"URL","http://arrangesnow.com",""
"URL","http://artificefarm.com",""
"URL","http://assistsaffron.com",""
"URL","http://assumeditself.com",""
"URL","http://assumingtwenty.com",""
"URL","http://atlanticdrag.com",""
"URL","http://augmentreversed.com",""
"URL","http://babieshq.online",""
"URL","http://balancediameter.com",""
"URL","http://balanceequator.com",""
"URL","http://balloonradiant.com",""
"URL","http://bankruptcock.com",""
"URL","http://bankruptfortune.com",""
"URL","http://battleshut.com",""
"URL","http://beetlespoil.com",""
"URL","http://behindupright.com",""
"URL","http://betweenarrest.com",""
"URL","http://bivalveprofuse.com",""
"URL","http://blanchflank.com",""
"URL","http://blazndns.com",""
"URL","http://blockconsider.com",""
"URL","http://bloodyabdomen.com",""
"URL","http://blossomsalient.com",""
"URL","http://blustertrimming.com",""
"URL","http://boaststeel.com",""
"URL","http://bohemiananalogy.com",""
"URL","http://boilerquarry.com",""
"URL","http://boreadherent.com",""
"URL","http://boringrock.com",""
"URL","http://bosombracket.com",""
"URL","http://bottledissent.com",""
"URL","http://bottomverbal.com",""
"URL","http://bracelodging.com",""
"URL","http://brassdiet.com",""
"URL","http://breedvain.com",""
"URL","http://broadbishop.com",""
"URL","http://broadvehement.com",""
"URL","http://buckprefix.com",""
"URL","http://burnhunger.com",""
"URL","http://burninterest.com",""
"URL","http://bushgerman.com",""
"URL","http://caneflag.com",""
"URL","http://cantshall.com",""
"URL","http://captureadapted.com",""
"URL","http://carbonicchain.com",""
"URL","http://carecondemn.com",""
"URL","http://carrierreclaim.com",""
"URL","http://caskexalted.com",""
"URL","http://catchingfelicit.com",""
"URL","http://chairlittle.com",""
"URL","http://chairmuzzle.com",""
"URL","http://chancedelicacy.com",""
"URL","http://charterdelicacy.com",""
"URL","http://cheatmass.com",""
"URL","http://chlorineinner.com",""
"URL","http://chlorinesilk.com",""
"URL","http://clamorinduce.com",""
"URL","http://clausemollusca.com",""
"URL","http://closelydenote.com",""
"URL","http://clothplate.com",""
"URL","http://cockoutside.com",""
"URL","http://coffinpronoun.com",""
"URL","http://combineexecute.com",""
"URL","http://commonlyprolifi.com",""
"URL","http://completedismiss.com",""
"URL","http://compoundrationa.com",""
"URL","http://concavepervert.com",""
"URL","http://confessshrink.com",""
"URL","http://conformmourning.com",""
"URL","http://contentsoration.com",""
