"Indicator type","Indicator","Description"
"IPv4","47.253.171.249","CC=US ASN=AS45102 Alibaba US Technology Co., Ltd."
"domain","aqnydmk.com",""
"domain","boitjexv.com",""
"domain","boiyddt.com",""
"domain","fonetmo.com",""
"domain","hhxbpgz.com",""
"domain","hmuwsxk.com",""
"domain","ifpzppt.com",""
"domain","mqmkpfr.com",""
"domain","msewiha.com",""
"domain","nmwbmqi.com",""
"domain","xaobyxu.com",""
"domain","xdcgvsh.com",""
"domain","xezngrj.com",""
"domain","xgwxwkz.com",""
"domain","xijeuvo.com",""
"domain","xkgruyz.com",""
"domain","xlaweyt.com",""
"domain","xlrjakm.com",""
"domain","xnqscwe.com",""
"domain","xofmibi.com",""
"domain","xowipyb.com",""
"domain","xpugimp.com",""
"domain","xpxwzcr.com",""
"domain","xqpjdvc.com",""
"domain","xqrxnhb.com",""
"domain","xqutiur.com",""
"domain","xruzdfu.com",""
"domain","xxhiwuo.com",""
"domain","xyqkpxc.com",""
"domain","xzfgczw.com",""
"domain","zgphjqp.com",""
"URL","http://aqnydmk.com/",""
"URL","http://boitjexv.com/",""
"URL","http://boiyddt.com/",""
"URL","http://fonetmo.com/eoRJm12w",""
"URL","http://hhxbpgz.com/",""
"URL","http://hmuwsxk.com/",""
"URL","http://ifpzppt.com/",""
"URL","http://mqmkpfr.com/",""
"URL","http://msewiha.com/",""
"URL","http://nmwbmqi.com/",""
"URL","http://xlrjakm.com/",""
"URL","http://zgphjqp.com/",""
"URL","https://fonetmo.com/eoRJm12W",""
"URL","http://mqmkpfr.com/G1LBXj30",""
"URL","http://2z7rpv.info",""
"URL","http://3grjay.com",""
"URL","http://4l0wt3.com",""
"URL","http://8wkg3s.com",""
"URL","http://8yueo1.info",""
"URL","http://aabzflu.com",""
"URL","http://aadhkhm.com",""
"URL","http://aahrywy.com",""
"URL","http://aalhlpr.com",""
"URL","http://aanzkzi.com",""
"URL","http://aasuaeg.com",""
"URL","http://aavorzz.com",""
"URL","http://aavqqwj.com",""
"URL","http://aawgqqn.com",""
"URL","http://abfgymz.com",""
"URL","http://abhcapg.com",""
"URL","http://abkbgnk.com",""
"URL","http://abprjfc.com",""
"URL","http://abrrfzf.com",""
"URL","http://abtcwgi.com",""
"URL","http://abtlgrb.com",""
"URL","http://acczsbt.com",""
"URL","http://acehehc.com",""
"URL","http://achbaac.com",""
"URL","http://achcuzb.com",""
"URL","http://achuyae.com",""
"URL","http://acieylo.com",""
"URL","http://acjjjum.com",""
"URL","http://ackhzzw.com",""
"URL","http://acmigjt.com",""
"URL","http://acpafnm.com",""
"URL","http://acrydpo.com",""
"URL","http://actmhjz.com",""
"URL","http://actrquk.com",""
"URL","http://acvdijy.com",""
"URL","http://acwiyye.com",""
"URL","http://acyljtf.com",""
"URL","http://aczxvvv.com",""
"URL","http://adbbpmj.com",""
"URL","http://adcdqrm.com",""
