"Indicator type","Indicator","Description"
"URL","http://insectsharpen.boutique",""
"URL","http://aldehydeseizing.boutique",""
"URL","http://anglesheedless.boutique",""
"URL","http://artistcautious.boutique",""
"URL","http://avoidsmoky.institute",""
"URL","http://basketcautious.institute",""
"URL","http://bestowprickly.boutique",""
"URL","http://boastparapet.institute",""
"URL","http://boilingauction.boutique",""
"URL","http://boomrelated.boutique",""
"URL","http://braceinherent.institute",""
"URL","http://brighthome.boutique",""
"URL","http://burylesson.boutique",""
"URL","http://cankerhaughty.institute",""
"URL","http://canvassstream.institute",""
"URL","http://capstanaudience.institute",""
"URL","http://captivelonger.boutique",""
"URL","http://causingdiseased.boutique",""
"URL","http://cautionvulgar.boutique",""
"URL","http://ceasemarriage.boutique",""
"URL","http://chancerydistant.boutique",""
"URL","http://chinesecorrupt.institute",""
"URL","http://clothingcalm.institute",""
"URL","http://colonyround.boutique",""
"URL","http://contrivebehavior.institute",""
"URL","http://defeatrabble.boutique",""
"URL","http://dependcheer.boutique",""
"URL","http://districtprofit.institute",""
"URL","http://divinitycoat.institute",""
"URL","http://embracelogical.boutique",""
"URL","http://exampleulcer.institute",""
"URL","http://fancifulalbumin.boutique",""
"URL","http://frozendiurnal.boutique",""
"URL","http://gloomproject.boutique",""
"URL","http://grosshill.boutique",""
"URL","http://groupsubtle.boutique",""
"URL","http://hawkuncommon.boutique",""
"URL","http://heartumor.boutique",""
"URL","http://hurrysonorous.boutique",""
"URL","http://insertedprofuse.boutique",""
"URL","http://intimatepigeon.institute",""
"URL","http://leaderreligion.institute",""
"URL","http://limitedsymbol.boutique",""
"URL","http://losesentinel.institute",""
"URL","http://manyembryo.boutique",""
"URL","http://maskseed.institute",""
"URL","http://mastdoubt.institute",""
"URL","http://miseryregulate.boutique",""
"URL","http://moistenaniline.institute",""
"URL","http://moralityswiftly.institute",""
"URL","http://notedwitness.boutique",""
"URL","http://opposesteep.boutique",""
"URL","http://paradiseinflame.boutique",""
"URL","http://patiencefigured.boutique",""
"URL","http://perfectpeace.boutique",""
"URL","http://pettypepper.boutique",""
"URL","http://pointedwill.boutique",""
"URL","http://portraitspelling.boutique",""
"URL","http://precioushappen.boutique",""
"URL","http://previouscounter.institute",""
"URL","http://preyguilty.institute",""
"URL","http://providemajority.institute",""
"URL","http://provokerecord.institute",""
"URL","http://qualityrotation.institute",""
"URL","http://rebukecompass.boutique",""
"URL","http://reliancejaundice.boutique",""
"URL","http://reptileanatomy.institute",""
"URL","http://reversalshare.boutique",""
"URL","http://rudderdeaden.boutique",""
"URL","http://scotchpartner.boutique",""
"URL","http://sentinelbrace.institute",""
"URL","http://slatefilament.boutique",""
"URL","http://sleepsignal.boutique",""
"URL","http://snuffsilly.boutique",""
"URL","http://soilrevive.boutique",""
"URL","http://solventwatch.boutique",""
"URL","http://sportmixed.boutique",""
"URL","http://springwindlass.institute",""
"URL","http://stillshroud.boutique",""
"URL","http://submitcircular.boutique",""
"URL","http://swimmound.boutique",""
"URL","http://takecalyx.boutique",""
"URL","http://takeobsolete.institute",""
"URL","http://tensionconvex.boutique",""
"URL","http://thosepool.boutique",""
"URL","http://tidesanctity.institute",""
"URL","http://twistedinsipid.institute",""
"URL","http://unusualdelegate.institute",""
"URL","http://vascularquestion.boutique",""
"URL","http://villainpale.boutique",""
"URL","http://weavingexcept.boutique",""
"URL","http://witherinclude.boutique",""
"URL","http://wolftrinity.institute",""
"URL","http://worldlyground.institute",""
"domain","aldehydeseizing.boutique",""
"domain","anglesheedless.boutique",""
"domain","artistcautious.boutique",""
"domain","avoidsmoky.institute",""
"domain","basketcautious.institute",""
"domain","bestowprickly.boutique",""
"domain","boastparapet.institute",""
"domain","boilingauction.boutique",""
"domain","boomrelated.boutique",""
"domain","braceinherent.institute",""
"domain","brighthome.boutique",""
"domain","burylesson.boutique",""
"domain","cankerhaughty.institute",""
"domain","canvassstream.institute",""
"domain","capstanaudience.institute",""
"domain","captivelonger.boutique",""
"domain","causingdiseased.boutique",""
"domain","cautionvulgar.boutique",""
"domain","ceasemarriage.boutique",""
"domain","chancerydistant.boutique",""
"domain","chinesecorrupt.institute",""
"domain","clothingcalm.institute",""
"domain","colonyround.boutique",""
"domain","contrivebehavior.institute",""
"domain","defeatrabble.boutique",""
"domain","dependcheer.boutique",""
"domain","districtprofit.institute",""
"domain","divinitycoat.institute",""
"domain","embracelogical.boutique",""
"domain","exampleulcer.institute",""
"domain","fancifulalbumin.boutique",""
"domain","frozendiurnal.boutique",""
"domain","gloomproject.boutique",""
"domain","grosshill.boutique",""
"domain","groupsubtle.boutique",""
"domain","hawkuncommon.boutique",""
"domain","heartumor.boutique",""
"domain","hurrysonorous.boutique",""
"domain","insectsharpen.boutique",""
"domain","insertedprofuse.boutique",""
"domain","intimatepigeon.institute",""
"domain","leaderreligion.institute",""
"domain","limitedsymbol.boutique",""
"domain","losesentinel.institute",""
"domain","manyembryo.boutique",""
"domain","maskseed.institute",""
"domain","mastdoubt.institute",""
"domain","miseryregulate.boutique",""
"domain","moistenaniline.institute",""
"domain","moralityswiftly.institute",""
"domain","notedwitness.boutique",""
"domain","opposesteep.boutique",""
"domain","paradiseinflame.boutique",""
"domain","patiencefigured.boutique",""
"domain","perfectpeace.boutique",""
"domain","pettypepper.boutique",""
"domain","pointedwill.boutique",""
"domain","portraitspelling.boutique",""
"domain","precioushappen.boutique",""
"domain","previouscounter.institute",""
"domain","preyguilty.institute",""
"domain","providemajority.institute",""
"domain","provokerecord.institute",""
"domain","qualityrotation.institute",""
"domain","rebukecompass.boutique",""
"domain","reliancejaundice.boutique",""
"domain","reptileanatomy.institute",""
"domain","reversalshare.boutique",""
"domain","rudderdeaden.boutique",""
"domain","scotchpartner.boutique",""
"domain","sentinelbrace.institute",""
"domain","slatefilament.boutique",""
"domain","sleepsignal.boutique",""
"domain","snuffsilly.boutique",""
"domain","soilrevive.boutique",""
"domain","solventwatch.boutique",""
"domain","sportmixed.boutique",""
"domain","springwindlass.institute",""
"domain","stillshroud.boutique",""
"domain","submitcircular.boutique",""
"domain","swimmound.boutique",""
"domain","takecalyx.boutique",""
"domain","takeobsolete.institute",""
"domain","tensionconvex.boutique",""
"domain","thosepool.boutique",""
"domain","tidesanctity.institute",""
"domain","twistedinsipid.institute",""
"domain","unusualdelegate.institute",""
"domain","vascularquestion.boutique",""
"domain","villainpale.boutique",""
"domain","weavingexcept.boutique",""
"domain","witherinclude.boutique",""
"domain","wolftrinity.institute",""
