"Indicator type","Indicator","Description"
"domain","mrysckj.com",""
"FileHash-SHA256","32267b7adf2a897a23924cc1e286150774916771fda1a73322e515399b62da9e",""
"domain","bergsteigenshop.com",""
"domain","clinical-trial-mgmt-software-be-51-in.today",""
"domain","congwangi.site",""
"domain","cryptoabyss.fun",""
"domain","docswhisky.com",""
"domain","filigreemservice.com.ng",""
"domain","gerabnationalenterprises.com",""
"domain","giftsonlinesale.com",""
"domain","michaelkorsoutletin.net",""
"domain","mobile-guru-pro.xyz",""
"domain","mostbet-a2.xyz",""
"domain","noderr.org",""
"domain","p10document.net",""
"domain","projectcubicle.com",""
"domain","qytetiurban.com",""
"domain","resortrio.com",""
"domain","rromic.com",""
"domain","samosir138.wiki",""
"domain","soldesapart.com",""
"hostname","ss.ddayh.com",""
"domain","tevfk.com",""
"domain","uzovozberish.com",""
"hostname","www.spinartis777.com",""
"URL","http://bergsteigenshop.com/",""
"URL","http://giftsonlinesale.com/",""
"URL","http://www.soldesapart.com/",""
"URL","https://michaelkorsoutletin.net/",""
"URL","https://mobile-guru-pro.xyz/c/375",""
"URL","https://mostbet-a2.xyz/",""
"URL","https://tevfk.com",""
"URL","https://www.gerabnationalenterprises.com/",""
"URL","https://www.projectcubicle.com/primavera-p6-global-change-tool/",""
"URL","https://www.projectcubicle.com/who-is-tech-cio-what-do-they-actually-do",""
"URL","https://www.resortrio.com/rio-luxury-spa-wellness/",""
"URL","http://www.bergsteigenshop.com/",""
"hostname","www.forum.projectcubicle.com",""
"URL","https://www.projectcubicle.com/",""
"URL","https://www.projectcubicle.com/DA",""
"URL","https://www.projectcubicle.com/best-practices-to-manage-a-dedicated-offshore-team/",""
"URL","https://www.projectcubicle.com/excel-insert-tab/",""
"URL","https://www.projectcubicle.com/excel-vs-automated-payroll-systems-unveiling-the-evolution-of-payroll-management/",""
"URL","https://www.projectcubicle.com/finding-the-perfect-fit-the-role-of-staffing-agencies/",""
"URL","https://www.projectcubicle.com/fire-security-measures-for-businesses-essential-tips-for-protecting-your-property-and-employees/",""
"URL","https://www.projectcubicle.com/how-can-different-industries-benefit-from-professional-indemnity-insurance/",""
"URL","https://www.projectcubicle.com/how-to-reduce-staff-turnover-in-your-business/",""
"URL","https://www.projectcubicle.com/project-managing-a-housing-development/",""
"URL","https://www.projectcubicle.com/reasons-why-your-household-is-ready-for-a-mesh-wi-fi-system/",""
"URL","https://www.projectcubicle.com/secure-your-iot-why-insider-threat-detection-is-vital/",""
"URL","https://www.projectcubicle.com/skills-in-psychology-that-will-help-close-more-deals/",""
"URL","https://www.projectcubicle.com/the-importance-of-business-travel/",""
"URL","https://www.projectcubicle.com/the-power-of-custom-application-development-choosing-the-right-custom-application-development-company/",""
"URL","https://www.projectcubicle.com/the-ultimate-guide-to-cloud-computing-and-how-it-can-help-companies/",""
"URL","https://www.projectcubicle.com/what-does-a-medical-assistant-do-and-is-it-a-good-career/",""
"URL","https://www.projectcubicle.com/what-you-get-when-you-hire-expert-shopify-developers/",""
"URL","http://qytetiurban.com/wp-content/uploads/2022/07/Algorithmic_Trading_And_Dma_Barry_Johnson_Pdf_Dow",""
"URL","http://qytetiurban.com/wp-content/uploads/2022/07/Priston_Tale_Koreano__CD_03_De_04_Tournament_Chea",""
"URL","http://qytetiurban.com/wp-content/uploads/2022/07/REPACK_Elden_RingSKiDROW__v_102__DLC_Free.pdf",""
"URL","http://qytetiurban.com/wp-content/uploads/2022/09/abbyy_finereader_7_pro_crack.pdf",""
