"Indicator type","Indicator","Description"
"domain","indigobuys.com",""
"hostname","email.indigobuys.com",""
"URL","http://email.indigobuys.com/c/eJwtkE1rwzAMhn9NcnNx7DgfhxwGo2MbbDAotL0Mx1YSZ_5q4jTNfv3cUaSD9D7iRZJsOtnWpUxVMx7ewnUrD-uxvODt63wux-7TvN4M_LTvlxc9ntjp43hKciyB6xkFMF7DTjiTDg0uapkDoyWuso6BJFRQBpRz3BWMUZnqZgjBzwl9Ssg-5rquO2Wl6h3qgU93m6j6yclFhDmWi1VXmGaukdDKo-qGMnJDv84ZZFyrNCA_OAtxDQ2zcB6QBhv991wtSib0OQcuK85z0tZ1TrJ7IzhpCyCYxcgSUnCl_0dJkVUM10WdR3EJ5nt2yyQgkjCA4WJQFh7EgFSLieQho8iVfkDBjeeqtxFbWGcNIcCECCYEYYpIlk7N6KYe4g9BOOvM5p3eTDzzfv8fWnGDow",""
"URL","http://email.indigobuys.com/c/eJwtkE1rwzAMhn9NenNxnO9DDoPRsQ02GBTaXoZsq4kzfzVxmma_fu4o0kF6H_EiSbZnyZtKblQ77N_Cda32y6G60PXrdKqG86d5vRn84e-XFz0ci-PH4ZjkVCLoiQQ0XuNWOLPp25oKyjBnwLNG1BVlWYZNCQXncKY8x41u-xD8lGRPCdvFXJZlq6xUnSMdwni3iaofnZxFmGI5W3XFcQJNhFae1DeSshv5dc4Q47jSSHzvLMY1NE7CeSQabfTfgZqVTLLnHEHWADnjTZOz9N4IYLxERosYacJKUPp_lJVpXdCmomUU52C-JzePAiMJPRoQvbL4IAalmk0kD5lErvQDCjAeVGcjtrhMGkPAkTDKGKEZYelmbAc3dhh_iMJZZ1bv9Grimff7_wC234Pv",""
"URL","http://email.indigobuys.com/c/eJwtkE9rwzAMxT9NcnNxnP-HHAqjYxtsMCi0vQzHUhJndpzazrJ8-zmjSBe930M8CZoO2rqEWDbj-dX_bOV5vZR3un3ebuXYfeiXX43f7dv9WY3X_Pp-uUYZBeTKEY96VngQRsdDA3lN0zwTkKV5VYmkrVnXtVCiAI7AMFbN4P3sovQYsVPodV0PcgLZG9Ijt_uaoM7WwCK82w3SokLniEVtPBJhJm-NIrDMSgrujY3SE5eLhCh9ypBDxXnG2rrOWLIPgrO2QEbzUEnECi7Vv5UVSZXTukyKIC5efzmzWIGB-AE1F4Oc8EE0glx0IA-ZBC7VAwquZy77KeAJV6fQe7SEUcYITQlLYtuMxvYY_oUhu9HbbNSm0br91j901n4P",""
"URL","http://email.indigobuys.com/c/eJwtkEFvgzAMhX8N3KhCAgEOHCpVnbZJmzSpUullcoiBsIRQCGP8-6Wosi9-n_WeZVk2UhSZDFXZX97c75Zd1mt2J9vX7Zb1zad5_TP4I97vL7qv0urjWgUJkQh6jhyaUeOhtibsSp6kICCXsmmQCxAcYsFjkuXQMJomPNRl59w4B-wY0LPvdV0PapCqtdFu9_AJ2BnUomTATgmCzAESKooiofFjqIEKjpSkvuKAclB6X6U8zlNSsDTz4uLM92yXqUZPXIcG6k4N-CQGpVp8zOkpR54r_YQ1mBFUO3g84DprdA6niBJKI8IiGodT2dupRf8ArO1gzTZavRmc9tv_Adu2a9U",""
"URL","http://email.indigobuys.com/c/eJwtkG9rgzAQxj-NvkuJUaO-8MWgdGyDDQaFtm9GTE6NS4zNnzq__dKtXA4uz-94LjnR9qJrKpHKdjq--ttWHddTdcXb5-VSTf2HfvnR8N29XZ_VdC7P76dzUmABTDnkQS8KdtzodGyZ6Psi7wpS1Q0BjKEUdYZLWtOM9lUhUtWO3i8uyZ8ScohnXdednIUcDBqA2btNVBdrRODexTLM8gbWMYWc31SI80zgI3LcAsxoidkbizzrFHjkNLN-Gc0MSX5gMkiR5PsCmKgZK0jXNAXJ7hfOSEeB4DJGlhDKpPprJTSrS9xQWkYxeP3lTLA8mu39CJrxUUbnf6JByKAjecgocqkekDO9MDnMEc-wuvg0DxYRTAjCOSJZatvJ2AHiEoGb2ehtMWrT8Z_3BfwCtImE7g",""
"URL","http://email.indigobuys.com/c/eJwtkMFqhDAQhp9Gb1li1KgHDyuLtKctbOnSUxmTiYZGTZNI-vjNloU5DN83MzC_7JWcukbmuq-3cLlWL2po-XU-_woVP4bXz_F9uH7e7reD_vg3H-09DuM5q6hEMJ4EXK3Bk9jXfOkBFEWGvCkKrpAyKACFkMCBdg2tWG76JQTrs_KcsTFVjPGkN6nnncwI7nEmUet2eYjgH-3uAkwGyWGCA-IXcJZsoA0RRluLLitH0IeWWXnhhah5006qo6xFiUx1HWdSdKqqKYgpYzwt_o8yXpRlR5u2TvAI65ffDycwmbDgCmLRGz7NilIfazJPTJLX5ikFrBb0vCW9YfQGQ0BHGGWM0JKwInd9grvdjUyJRXBRi2-9icejfxPifI4",""
"URL","http://email.indigobuys.com/c/eJwtkMFqhDAQhp9Gb1liNEYPHgplS1toobCwu5cSk1HjJsZNYq19-kZYZg4z_zf8zIxsOtnWTKaqGU9v4Wdjp_XM7nj7ul7Z2H2a118Dt_b9_qLHC718nC9JgSVw7VEAM2s4CGvSoaGZ4BWpKDBSdTQjouMZrivBBGOdoDTVzRDC7JP8KSHHmOu6HtQkVW9RD9ztNlGdnZWLCD6WXmkl7ARIgr8FOyPBWw3Iup5P6g9ckh-5WpRM8ucCuKw4L0hb1wXJ9kZw0pZAMI2RJaTk0W0fJWVWUVyXlEVxCebb28UJiCQMYLgY1AQPYkCqxUTykFHkSj-g4Gbmqp8inmD1GkIAhwgmBOEckSx1zRhXhfgtiFdYs81Wbwac3y_9Bya2fBA",""
"URL","http://email.indigobuys.com/c/eJwtkMFqwzAMhp8mubk4Spw0hxwGo2MbbDAotL0Mx1YSp3ac2s6y7OnnQpEO0v-JH0my6WRbVzJVzXh8Cz9bdVxP1Y1uX5dLNXaf5vXX4LV9v73o8czOH6dzUlCJXHsS0Mwad8KadGjaggPjYs-ykjIQMgfR0Q4Z7ZgsAOtUN0MIs0_ypwQOMdd13alJqt6SHrm720R1dlYuIvhYeqWVsBMSif4a7EwEbzUS63o-qT90SX7galEyyZ8L5HLPeQFtXReQ3RvBoS0RKIuRJVDy6HYfhTLbM1qXBY3iEsy3t4sTGEkY0HAxqAkfxKBUi4nkIZPIlX5Awc3MVT9FPOHqNYaAjgAFIDQnkKWuGeOqGL-F8QprttnqzaDz90v_AXJXfE4",""
