"Indicator type","Indicator","Description"
"URL","http://signalrule.com",""
"URL","http://absolutepeacefu.com",""
"URL","http://acidchord.com",""
"URL","http://affirmrich.com",""
"URL","http://ambushqualify.com",""
"URL","http://animaterefrain.com",""
"URL","http://asserttreasure.com",""
"URL","http://assumedspeed.com",""
"URL","http://autodiscover.bearheel.com",""
"URL","http://axiruw.online",""
"URL","http://benefitanger.com",""
"URL","http://bohemianmagnify.com",""
"URL","http://clearwithdraw.com",""
"URL","http://comfortinstruct.com",""
"URL","http://countrygeometry.com",""
"URL","http://criminaltravele.com",""
"URL","http://crookedrightful.com",""
"URL","http://crotchetgrate.com",""
"URL","http://crueltygiddy.com",""
"URL","http://dartrustic.com",""
"URL","http://derisionhappen.com",""
"URL","http://disposalcalmnes.com",""
"URL","http://distillbehind.com",""
"URL","http://ditchfather.com",""
"URL","http://dividerust.com",""
"URL","http://dreadrelieve.com",""
"URL","http://epegug.online",""
"URL","http://epifud.online",""
"URL","http://erinoj.online",""
"URL","http://exafed.online",""
"URL","http://exibek.online",""
"URL","http://expandbest.com",""
"URL","http://facultygenerate.com",""
"URL","http://faithfuldrinkin.com",""
"URL","http://foreheadbubble.com",""
"URL","http://formallyescape.com",""
"URL","http://formtreatise.com",""
"URL","http://frontierdisgust.com",""
"URL","http://goodfigured.com",""
"URL","http://gratingleaf.com",""
"URL","http://hardyfreedom.com",""
"URL","http://hidespoil.com",""
"URL","http://humilitystern.com",""
"URL","http://ikoziw.online",""
"URL","http://infusiondistant.com",""
"URL","http://inhabitclearing.com",""
"URL","http://insanityignoran.com",""
"URL","http://insnarekind.com",""
"URL","http://irazog.online",""
"URL","http://jointedriddle.com",""
"URL","http://lightendriven.com",""
"URL","http://mutualrespond.com",""
"URL","http://noisydistress.com",""
"URL","http://noticehand.com",""
"URL","http://omissionrolling.com",""
"URL","http://onifaw.online",""
"URL","http://osekab.online",""
"URL","http://packagedisfavor.com",""
"URL","http://paneljerk.com",""
"URL","http://partiesbundle.com",""
"URL","http://perfectmention.com",""
"URL","http://perverteleventh.com",""
"URL","http://pointingpush.com",""
"URL","http://poststool.com",""
"URL","http://preventread.com",""
"URL","http://privybeverage.com",""
"URL","http://ragebrittle.com",""
"URL","http://raisingtreasure.com",""
"URL","http://randomburden.com",""
"URL","http://renounceclearin.com",""
"URL","http://retortbreeches.com",""
"URL","http://retortmassive.com",""
"URL","http://ridiculeboom.com",""
"URL","http://roundishmoistur.com",""
"URL","http://sealmagical.com",""
"URL","http://sentoutward.com",""
"URL","http://shattertraverse.com",""
"URL","http://sincereact.com",""
"URL","http://slackgeometry.com",""
"URL","http://staging2.bearheel.com",""
"URL","http://standingplumb.com",""
"URL","http://statuefeminine.com",""
"URL","http://stealingstockin.com",""
"URL","http://strikeprose.com",""
"URL","http://tarnishavoid.com",""
"URL","http://theologyarrest.com",""
"URL","http://thinkingopinion.com",""
"URL","http://thinspoil.com",""
