"Indicator type","Indicator","Description"
"URL","https://btc1217.com",""
"URL","https://btc1219.com",""
"URL","https://btc8288.com",""
"URL","https://btc8588.com",""
"URL","https://btc8887.com",""
"URL","https://btc8887.com.btc8887.com",""
"URL","https://btc9989.com",""
"URL","https://ht.btc1217.com",""
"URL","https://ht.btc2228.com",""
"URL","https://ht.btc7778.com",""
"URL","https://ht.btc8887.com",""
"URL","https://ht.btcvip3.com",""
"URL","https://jq.btc8887.com",""
"URL","https://tu.btc7778.com",""
"URL","https://usdbtc365.com",""
"URL","https://usdt20.vip",""
"domain","btc1217.com",""
"domain","btc1219.com",""
"domain","btc8288.com",""
"domain","btc8588.com",""
"domain","btc8887.com",""
"domain","btc9989.com",""
"domain","usdbtc365.com",""
"domain","usdt20.vip",""
"hostname","btc8887.com.btc8887.com",""
"hostname","ht.btc1217.com",""
"hostname","ht.btc2228.com",""
"hostname","ht.btc7778.com",""
"hostname","ht.btc8887.com",""
"hostname","ht.btcvip3.com",""
"hostname","jq.btc8887.com",""
"hostname","tu.btc7778.com",""
