"Indicator type","Indicator","Description"
"FileHash-SHA256","0f2a43c7fe1fa4117cb7542a7cd9222a063de99158b02a0ceee313a6670c2c3a",""
"FileHash-SHA256","1257726baaeca6e8c000406ceaba2ec70fa53371d331f8e6b39bfff8bb0a3a02",""
"FileHash-SHA256","40d0636d3ec2287a07009b05a8bd7d4143b6cbb35eba9c23d9cfd239c8f9c575",""
"FileHash-SHA256","6467245f6d186b2dd54ba139a2bd8ea38cafe83952d7c20cd0937c53b9e9cb6a",""
"FileHash-SHA256","6a0e5686e8520c9c1e18923e464e92ebe6d32ee4219c9d1ae71215857f917b0a",""
"FileHash-SHA256","913ecc9057b1473e4f2bee249ecd7451ab632964d7a0eb1713ff41618e37ea34",""
"FileHash-SHA256","95f1dd591190cb5221c8158dcea389564106eb89ec8a53c0029851fb9b15bfd6",""
"FileHash-SHA256","96d90626c35f88cc3632053cb3e3996b4a25a172c140b0917061f1fac691db3f",""
"FileHash-SHA256","9bec8e826e88bdee86f20c1c1c4d686b97fbd3ee09d6832633c827ce4932e9d2",""
"FileHash-SHA256","d249de5277aaa875154143f14727a761caa652960685ab529327f1affa8954cb",""
"FileHash-SHA256","f8e985483e718249d70f677b987dca3e38709ad84f99154f5040725bb8f02bee",""
"domain","andreou-testing.online",""
"domain","antonioleon.xyz",""
"domain","autoready.xyz",""
"domain","awdsites.com",""
"domain","basedbluecat.xyz",""
"domain","basedweener.xyz",""
"domain","benjaminstein.xyz",""
"domain","catifyonsol.xyz",""
"domain","conbase.xyz",""
"domain","fattura.com.co",""
"domain","freelander.online",""
"domain","friend-tech.finance",""
"domain","heavenlyragdollshome.com",""
"domain","ideaventures.in",""
"domain","interviw.com",""
"domain","libresoftwareblog.xyz",""
"domain","lilcaesar.xyz",""
"domain","logokid.com.br",""
"domain","louisvuittonoutlet.shop",""
"domain","lushbeauty.blog",""
"domain","maruthammatrimony.com",""
"domain","moonchocolatebar.uk",""
"domain","multichain-tokenguidehelpbook.xyz",""
"domain","no-reply-email.xyz",""
"domain","pakcloud.xyz",""
"domain","paknavy.tech",""
"domain","petalschanging.shop",""
"domain","rafaelvaldez.online",""
"domain","raphaguiadeturismo.com.br",""
"domain","regalosreligiosos.es",""
"domain","sempreaberto.com.br",""
"domain","simbaonsol.xyz",""
"domain","ssagov.net",""
"domain","trejos.xyz",""
"domain","vapesguide.co.uk",""
"domain","woofden.xyz",""
"URL","http://awdsites.com/library/fonts/index.htm",""
"URL","http://fattura.com.co/index.php",""
"URL","http://freelander.online/",""
"URL","http://friend-tech.finance/",""
"URL","http://ideaventures.in/blog/wp-content/themes/twentynineteen/fonts/shabbed/together_pauperizer.html",""
"URL","http://logokid.com.br/",""
"URL","http://louisvuittonoutlet.shop/",""
"URL","http://lushbeauty.blog/",""
"URL","http://maruthammatrimony.com/rmbb/fnb/snra.html",""
"URL","http://moonchocolatebar.uk",""
"URL","http://paknavy.tech",""
"URL","http://petalschanging.shop",""
"URL","http://petalschanging.shop/",""
"URL","http://rafaelvaldez.online/",""
"URL","http://sempreaberto.com.br/wp-admin/64565/banks/BMO/index.html",""
"URL","http://ssagov.net/",""
"URL","http://vapesguide.co.uk",""
"URL","http://www.andreou-testing.online/",""
"URL","http://www.logokid.com.br/",""
"URL","http://www.raphaguiadeturismo.com.br/",""
"hostname","translate.andreou-testing.online",""
"URL","http://www.www.andreou-testing.online/",""
"URL","https://www.andreou-testing.online/",""
"URL","https://www.www.andreou-testing.online/",""
"URL","https://www.fattura.com.co/index.php",""
"URL","http://www.ideaventures.in",""
"email","christian@janproocleaning.com",""
"domain","janproocleaning.com",""
"URL","http://JanProOcleAning.com",""
