"Indicator type","Indicator","Description"
"domain","indigoodies.com",""
"email","postmaster@indigoodies.com",""
"FileHash-SHA256","1e69c5b31cb0d1f8df5f716b254a052e3a3e9b2d1f9e8ea193e9d84820ab5b86",""
"FileHash-SHA256","f48db7f2fc8846629e3eba8b703f1887507b2c4520004b162061fb6e7c591b44",""
"domain","adultfunclub.xyz",""
"domain","aeronthermalsystems.com",""
"domain","aftertomorrow.shop",""
"domain","apizeus777amp-re.shop",""
"domain","capacala.com",""
"domain","cartersvillegahomes.com",""
"domain","coininsider.pro",""
"domain","culearn.ca",""
"domain","dewataplay.net",""
"domain","diomyo.care",""
"domain","distamalsh.com",""
"domain","fitfortunateforever.com",""
"domain","fountainpointsrliving.com",""
"domain","hanyakuda77.com",""
"domain","happy-good-day009.shop",""
"domain","havtv.cc",""
"domain","inforland.net",""
"domain","job-information.bid",""
"domain","kingdompurposechallenge.com",""
"domain","kosuts.com",""
"domain","legacyinitiative.net",""
"domain","libreville.trade",""
"domain","maxbobtheo.xyz",""
"domain","mergecaravan.com",""
"domain","milfet.site",""
"domain","nezos.org",""
"domain","prestinger.com",""
"domain","robs.design",""
"domain","sba99hks.com",""
"domain","stintan.club",""
"domain","sultanlido88.lol",""
"domain","sydneycuan.vip",""
"domain","the-portals.net",""
"domain","wpscan.net",""
"domain","yummieonboarding.shop",""
"URL","http://adultfunclub.xyz",""
"URL","http://apollo.capacala.com",""
"URL","http://apollo.capacala.com/",""
"URL","http://cartersvillegahomes.com/",""
"URL","http://culearn.ca/",""
"URL","http://fitfortunateforever.com",""
"URL","http://fountainpointsrliving.com",""
"URL","http://havtv.cc/",""
"URL","http://job-information.bid/",""
"URL","http://kingdompurposechallenge.com",""
"URL","http://kosuts.com",""
"URL","http://libreville.trade",""
"URL","http://maxbobtheo.xyz",""
"URL","http://mergecaravan.com",""
"URL","http://robs.design/",""
"URL","http://wpscan.net",""
"hostname","apollo.capacala.com",""
"URL","http://apollo.capacala.com/Apollo37zy.exe",""
"URL","http://apollo.capacala.com/Apollo37zz.exe",""
"URL","http://www.culearn.ca/",""
"URL","http://legacyinitiative.net/includes/popupbSD.php",""
