"Indicator type","Indicator","Description"
"URL","http://2020-creditcard.com","85254d400ec909acac6d567a725f3d9d21507ad1c93cef4c99223a8ea8878a18"
"URL","http://accesscardsasap.com",""
"URL","http://capitalcardsource.com",""
"URL","http://foundforeclosures.com","f1baed228438a9c25ff7969e865235456a7c2cce55f813cd2940ed488fe00647"
"URL","http://moneyschool.training","64ccbf1a50f2287a4d024753923009c66c39728d44fb0f4d13bcb85a6d1baa0a"
"URL","http://sharpcreditrec.com",""
"URL","http://thecarclique.com",""
"URL","http://todaysdailypublication.com",""
"URL","http://101everyday.com",""
"URL","http://123cardhelp.com",""
"URL","http://123yourdailybrief.com",""
"URL","http://1fha.com",""
"URL","http://2018c-cards.com",""
"URL","http://2018financehelp.com",""
"URL","http://2019cardguide.com",""
"URL","http://2019cardsource.com",""
"URL","http://2019creditcard.com",""
"URL","http://2019creditservices.com",""
"URL","http://2019topcards.com",""
"URL","http://2021creditcard.com",""
"URL","http://2021creditcards.com",""
"URL","http://2026creditcard.com",""
"URL","http://2026creditcards.com",""
"URL","http://a-1creditcards.com",""
"URL","http://a1-autoloan.com",""
"URL","http://access-chargecard.com",""
"URL","http://access-fha-today.com",""
"URL","http://accessyourcardsnow.com",""
"URL","http://acesslifesecrets.com",""
"URL","http://achieve-credit.com",""
"URL","http://advanced-update.com",""
"URL","http://apply-portal.net",""
"URL","http://approvalclub.net",""
"URL","http://approvaltype.com",""
"URL","http://ask-lendingnow.com",""
"URL","http://assistingauto.com",""
"URL","http://auto-apprentice.com",""
"URL","http://auto-buddies.com",""
"URL","http://auto-insidertoday.com",""
"URL","http://auto-marvel.com",""
"URL","http://auto-pals.com",""
"URL","http://auto-whiz.com",""
"URL","http://autoaccomplice.com",""
"URL","http://autolending-solutions.com",""
"URL","http://automobiles-today.com",""
"URL","http://autosaveronline.com",""
"URL","http://awesomecredit-line.com",""
"URL","http://beataddiction.today",""
"URL","http://boostercardclub.com",""
"URL","http://captain-captial.com",""
"URL","http://car-checker.com",""
"URL","http://car-collab.com",""
"URL","http://car-comrade.com",""
"URL","http://car-confirm.com",""
"URL","http://car-cooperation.com",""
"URL","http://car-cure.com",""
"URL","http://car-supreme.com",""
"URL","http://car-whiz.com",""
"URL","http://carcheetah.com",""
"URL","http://carcollaborator.com",""
"URL","http://carconfidentialdaily.com",""
"URL","http://carconqueror.com",""
"URL","http://carcorrective.com",""
"URL","http://card-advise.com",""
"URL","http://card-connoisseur.com",""
"URL","http://card-flair.com",""
"URL","http://card-friend.com",""
"URL","http://card-friends.com",""
"URL","http://card-hunt.com",""
"URL","http://card-marketplace.com",""
"URL","http://card-smarter.com",""
"URL","http://card-spy.com",""
"URL","http://card-update.com",""
"URL","http://cardclaimer.com",""
"URL","http://cardclubmatch.com",""
"URL","http://cardclubsmart.com",""
"URL","http://cardcoyote.com",""
"URL","http://cardeputy.com",""
"URL","http://cardfindonline.com",""
"URL","http://cardhelper-today.com",""
"URL","http://cardinformant.com",""
"URL","http://cardmanor.com",""
"URL","http://cardsactivatetoday.com",""
"URL","http://cardscouting.com",""
"URL","http://cardsfortoday.com",""
"URL","http://carfindnow.com",""
"URL","http://carfindworld.com",""
"URL","http://carhelptoday.com",""
"URL","http://cc-locate.com",""
"URL","http://centralnewshub.com",""
"URL","http://centralnewsinfo.com",""
"URL","http://certifiedcarshop.com",""
"URL","http://champion-cards.com",""
"URL","http://chargecardcollab.com",""
"URL","http://chargecardprime.com",""
"URL","http://chargecardsource.com",""
"URL","http://chiefcards.com",""
"URL","http://choice-credit.com",""
"URL","http://communicationnewstoday.com",""
"URL","http://credit-ally.com",""
"URL","http://credit-confidence.com",""
"URL","http://credit-deputy.com",""
"URL","http://credit-friend.com",""
"URL","http://credit-friends.com",""
"URL","http://credit-guidance.com",""
"URL","http://credit-magic.com",""
"URL","http://credit-man.com",""
"URL","http://credit-method.com",""
"URL","http://credit-official.com",""
"URL","http://credit-pals.com",""
"URL","http://credit-prodigy.com",""
"URL","http://credit-professor.com",""
"URL","http://credit-success.com",""
"URL","http://credit-supporter.com",""
"URL","http://credit-win.com",""
"URL","http://credit-winner.com",""
"URL","http://creditcard-genius.com",""
"URL","http://creditcardstomorrow.com",""
"URL","http://creditchoiceadvisors.com",""
"URL","http://creditfixclub.com",""
"URL","http://creditfixerclub.com",""
"URL","http://creditsuccessclub.com",""
"URL","http://credittapper.com",""
"URL","http://cryo-loan.com",""
"URL","http://cybercardfinder.com",""
"URL","http://dailyautofind.com",""
"URL","http://dailyautoinspiration.com",""
"URL","http://dailybulletinnow.com",""
"URL","http://dailycreditfind.com",""
