"Indicator type","Indicator","Description"
"URL","http://actbail.online",""
"URL","http://actfour.online",""
"URL","http://blackto.online",""
"URL","http://butpast.online",""
"URL","http://erijol.online",""
"URL","http://fightin.online",""
"URL","http://forroad.online",""
"URL","http://inusage.online",""
"URL","http://olevir.online",""
"URL","http://onabode.online",""
"URL","http://onwaste.online",""
"URL","http://outfind.online",""
"URL","http://outsail.online",""
"URL","http://railout.online",""
"URL","http://setneat.online",""
"URL","http://sureout.online",""
"URL","http://todark.online",""
"URL","http://usestir.online",""
"URL","http://uzadab.online",""
"domain","actbail.online",""
"domain","actfour.online",""
"domain","blackto.online",""
"domain","butpast.online",""
"domain","erijol.online",""
"domain","fightin.online",""
"domain","forroad.online",""
"domain","inusage.online",""
"domain","olevir.online",""
"domain","onabode.online",""
"domain","onwaste.online",""
"domain","outfind.online",""
"domain","outsail.online",""
"domain","railout.online",""
"domain","setneat.online",""
"domain","sureout.online",""
"domain","todark.online",""
"domain","usestir.online",""
"domain","uzadab.online",""
