"Indicator type","Indicator","Description"
"URL","http://abortivebarter.directory",""
"URL","http://adhereassembly.directory",""
"URL","http://adoptedroving.directory",""
"URL","http://agilitystory.directory",""
"URL","http://alkaloidlitter.directory",""
"URL","http://amberharrow.directory",""
"URL","http://appeasebladder.directory",""
"URL","http://attachaverage.directory",""
"URL","http://attainanthozoa.directory",""
"URL","http://beinghumanity.directory",""
"URL","http://bitumenlace.directory",""
"URL","http://blisterpeaceful.directory",""
"URL","http://breedingplaced.directory",""
"URL","http://burdenmuse.directory",""
"URL","http://cagerubbish.directory",""
"URL","http://cancerembryo.directory",""
"URL","http://capturesign.directory",""
"URL","http://carefulshroud.directory",""
"URL","http://carriagehear.directory",""
"URL","http://catchingbudding.directory",""
"URL","http://cementuncommon.directory",""
"URL","http://centermonument.directory",""
"URL","http://charitydemand.directory",""
"URL","http://chasedrag.directory",""
"URL","http://chlorinestatue.directory",""
"URL","http://clothefinding.directory",""
"URL","http://combinedsurety.directory",""
"URL","http://commerceseizing.directory",""
"URL","http://commitprick.directory",""
"URL","http://consentarranged.directory",""
"URL","http://containcamphor.directory",""
"URL","http://convexrhyme.directory",""
"URL","http://cornscore.directory",""
"URL","http://coronafreezing.directory",""
"URL","http://coronasilver.directory",""
"URL","http://coveredplural.directory",""
"URL","http://cranesketch.directory",""
"URL","http://craniumdanger.directory",""
"URL","http://createrose.directory",""
"URL","http://crestpure.directory",""
"URL","http://crowdwith.directory",""
"URL","http://damageretain.directory",""
"URL","http://delegaterounded.directory",""
"URL","http://deviateconvent.directory",""
"URL","http://deviateenduring.directory",""
"URL","http://disagreeforked.directory",""
"URL","http://displayrestrain.directory",""
"URL","http://downwardrifle.directory",""
"URL","http://dragonshedding.directory",""
"URL","http://driedthumb.directory",""
"URL","http://drumagent.directory",""
"URL","http://ecstasyteacher.directory",""
"URL","http://educatedefeat.directory",""
"URL","http://elasticshedding.directory",""
"URL","http://embraceflying.directory",""
"URL","http://enoughsore.directory",""
"URL","http://equalityurge.directory",""
"URL","http://equallywasting.directory",""
"URL","http://existhaste.directory",""
"URL","http://existingyearly.directory",""
"URL","http://findingbrisk.directory",""
"URL","http://firerefine.directory",""
"URL","http://flounderforth.directory",""
"URL","http://flourishdictate.directory",""
"URL","http://forbearsuspect.directory",""
"URL","http://freeacademy.directory",""
"URL","http://freshface.directory",""
"URL","http://fullnesssack.directory",""
"URL","http://furnacedelay.directory",""
"URL","http://futurebalsam.directory",""
"URL","http://garlandinclude.directory",""
"URL","http://glossdownward.directory",""
"URL","http://grainrange.directory",""
"URL","http://guardiananger.directory",""
"URL","http://hammerkingdom.directory",""
"URL","http://heelquality.directory",""
"URL","http://herbbeast.directory",""
"URL","http://highrecover.directory",""
"URL","http://hurtforced.directory",""
"URL","http://innocentwarp.directory",""
"URL","http://intriguehardy.directory",""
"URL","http://ip77.ip-137-74-35.eu",""
"URL","http://jackdevelop.directory",""
"URL","http://kindleheave.directory",""
"URL","http://limitedconfess.directory",""
"URL","http://limitsucceed.directory",""
"URL","http://litterdeck.directory",""
"URL","http://litterdismount.directory",""
"URL","http://losestamp.directory",""
"URL","http://lusterweigh.directory",""
"URL","http://machineremark.directory",""
"URL","http://magicalanimated.directory",""
"URL","http://magicalmountain.directory",""
"URL","http://maidensing.directory",""
"URL","http://marketsomewhat.directory",""
"URL","http://moistureflag.directory",""
"URL","http://mysterysnail.directory",""
"URL","http://naturalinsanity.directory",""
"URL","http://neglectdeeply.directory",""
"URL","http://obliquerupture.directory",""
"URL","http://ovalseventy.directory",""
"URL","http://pairvery.directory",""
"URL","http://paneladjunct.directory",""
"URL","http://paradisegrease.directory",""
"URL","http://patientstrait.directory",""
"URL","http://pendulumexchange.directory",""
"URL","http://pericarppervert.directory",""
"URL","http://persiancorrupt.directory",""
"URL","http://picklelikeness.directory",""
"URL","http://plandirty.directory",""
"URL","http://pleasingdeposit.directory",""
"URL","http://plunderashes.directory",""
"URL","http://powderactive.directory",""
"URL","http://prayerestate.directory",""
"URL","http://prettyplump.directory",""
"URL","http://prevaildivide.directory",""
"URL","http://printeddried.directory",""
"URL","http://proofcheat.directory",""
"URL","http://proposalexpress.directory",""
"URL","http://publicidiom.directory",""
"URL","http://puddingcoffin.directory",""
"URL","http://qualifyshrub.directory",""
"URL","http://radiantshining.directory",""
"URL","http://rarelypage.directory",""
"URL","http://reachcure.directory",""
"URL","http://receivedmissile.directory",""
"URL","http://resolvebenzene.directory",""
"URL","http://richindia.directory",""
"URL","http://ridgecompress.directory",""
"URL","http://ripepowerful.directory",""
"URL","http://rulingwide.directory",""
"URL","http://scallopconcern.directory",""
"URL","http://seizingblessing.directory",""
"URL","http://seizinghealth.directory",""
"URL","http://senateband.directory",""
"URL","http://sensualadvocate.directory",""
"URL","http://servantvisit.directory",""
