"Indicator type","Indicator","Description"
"domain","abnormalpurity.photography",""
"domain","abortionconsign.financial",""
"domain","absorbunlucky.financial",""
"domain","abusiveelastic.financial",""
"domain","acquiregracious.technology",""
"domain","acridnear.observer",""
"domain","adherentscore.international",""
"domain","adorndecree.singles",""
"domain","advancerange.financial",""
"domain","adversepool.productions",""
"domain","adversesour.financial",""
"domain","advocatemaster.financial",""
"domain","agentenlarge.ventures",""
"domain","alonghundred.international",""
"domain","alongstrained.melbourne",""
"domain","alphabetparish.financial",""
"domain","anxietyturkish.systems",""
"domain","anythingprint.photography",""
"domain","aparthood.international",""
"domain","aperturesponge.financial",""
"domain","appealbut.productions",""
"domain","appetiteexertion.melbourne",""
"domain","armsquail.international",""
"domain","arrestlight.systems",""
"domain","arriverustic.financial",""
"domain","ascenddiscover.international",""
"domain","aspiratehundred.financial",""
"domain","assentstratum.international",""
"domain","attendedcharity.international",""
"domain","attorneysulphate.international",""
"domain","attractearly.systems",""
"domain","auctionchanging.financial",""
"domain","awkwardgrains.productions",""
"domain","baggagebreathe.international",""
"domain","balancehealthy.international",""
"domain","ballleather.international",""
"domain","baptismfeudal.financial",""
"domain","bargainmagnify.financial",""
"domain","barreldivision.financial",""
"domain","bassexactly.financial",""
"domain","bearinginclosed.international",""
"domain","beastspecies.financial",""
"domain","blowmoist.financial",""
"domain","bondageschool.international",""
"domain","bonesilent.financial",""
"domain","braidability.international",""
"domain","brakesignal.financial",""
"domain","branchenforce.singles",""
"domain","branchidle.international",""
"domain","breachsomewhat.financial",""
"domain","breedingupward.financial",""
"domain","broadcanal.international",""
"domain","broughtcautious.financial",""
"domain","broughtshepherd.international",""
"domain","bunchlivery.technology",""
"domain","buryfalsely.financial",""
"domain","bushswim.financial",""
"domain","callspot.international",""
"domain","cankerhanging.financial",""
"domain","canvassstreet.financial",""
"domain","capitalcontent.financial",""
"domain","capitalsuffix.international",""
"domain","carbonwhole.international",""
"domain","carriedminister.international",""
"domain","carrierdefinite.financial",""
"domain","carryingthunder.financial",""
"domain","causeinserted.productions",""
"domain","cavityhonor.financial",""
"domain","changingacquire.financial",""
"domain","charterglass.financial",""
"domain","checkuniverse.financial",""
"domain","chestpeduncle.photography",""
"domain","chieflyintimate.financial",""
"domain","chiselfracture.financial",""
"domain","chlorinecurrency.international",""
"domain","circlefound.financial",""
"domain","citychannel.financial",""
"domain","cloakcatholic.financial",""
"domain","clothingcanker.international",""
"domain","clutchprick.international",""
"domain","coatpalliate.singles",""
"domain","colonyfavor.financial",""
"domain","colormole.international",""
"domain","compassdirty.productions",""
"domain","compelloathing.financial",""
"domain","composepenitent.technology",""
"domain","conductplain.international",""
"domain","confinerelated.financial",""
"domain","congressobtained.financial",""
"domain","consignpart.financial",""
"domain","consultbase.technology",""
"domain","contactvomit.financial",""
"domain","cottonbias.financial",""
"domain","cottonfighting.financial",""
"domain","cowardlyspecious.financial",""
"domain","craniumtincture.international",""
"domain","creatureheedless.financial",""
"domain","creaturemustard.international",""
"domain","criminalblossom.international",""
"domain","criticweak.international",""
"domain","curtainheap.international",""
"domain","dangeraccuracy.financial",""
"domain","dangernail.international",""
"domain","darknesscheek.photography",""
"domain","dateoperate.financial",""
"domain","debtunjust.financial",""
"domain","decayedconsent.international",""
"domain","defectdistrust.financial",""
"domain","delicateflexible.financial",""
"domain","deliverdescend.financial",""
"domain","densepriest.international",""
"domain","deviateextract.financial",""
"domain","devotionnoted.international",""
"domain","dietposture.international",""
"domain","dilutehelp.ventures",""
"domain","diminishincline.international",""
"domain","discordshrill.financial",""
"domain","dismalbring.melbourne",""
"domain","dismisswrinkle.financial",""
"domain","dispensefamily.singles",""
"domain","distantreducing.financial",""
"domain","diurnalintrigue.financial",""
"domain","dividedcase.photography",""
"domain","divisionpalatine.financial",""
"domain","doingscramble.melbourne",""
"domain","dolphinromance.systems",""
"domain","dorsalcovered.systems",""
"domain","dorsalspeaker.financial",""
"domain","doubletbelief.international",""
"domain","doubtaffinity.melbourne",""
"domain","doubtfulsweet.international",""
"domain","downcoat.financial",""
"domain","dressfloating.photography",""
"domain","drinkingoccur.financial",""
"domain","durationimprove.international",""
"domain","duringnote.international",""
"domain","eclipseridge.international",""
"domain","efficacyenergy.international",""
"domain","eightresident.financial",""
