"Indicator type","Indicator","Description"
"URL","http://ifejiiuw.sa.com",""
"URL","http://ketoakyhoshop.ru.com",""
"URL","http://ketoaconashop.ru.com",""
"URL","http://drawbackhound.ru.com",""
"hostname","www.film.org.ru",""
"hostname","film.org.ru",""
"hostname","autodiscover.film.org.ru",""
"URL","http://www.film.org.ru",""
"URL","http://film.org.ru",""
"URL","http://autodiscover.film.org.ru",""
"URL","http://slovakia.eu.org",""
"hostname","www.hacktest.altervista.org",""
"hostname","www.abellonioandrea.altervista.org",""
"hostname","hacktest.altervista.org",""
"hostname","abellonioandrea.altervista.org",""
"URL","http://www.hacktest.altervista.org",""
"URL","http://www.abellonioandrea.altervista.org",""
"URL","http://hacktest.altervista.org",""
"URL","http://abellonioandrea.altervista.org",""
"hostname","www.ybuiv.com.cn.cdn.cloudflare.net",""
"hostname","www.wzyoxq.tw.cdn.cloudflare.net",""
"hostname","www.wordkeeper.com.cdn.cloudflare.net",""
"hostname","www.wilko.marketing.cdn.cloudflare.net",""
"hostname","www.wempy.id.cdn.cloudflare.net",""
"hostname","www.vmesto.studio.cdn.cloudflare.net",""
"hostname","www.ujaetm.com.cn.cdn.cloudflare.net",""
"hostname","www.themusicalsafari.com.cdn.cloudflare.net",""
"hostname","www.tapchixamhinh.com.cdn.cloudflare.net",""
"hostname","www.tamiia.com.cdn.cloudflare.net",""
"hostname","www.surgacerita.com.cdn.cloudflare.net",""
"hostname","www.staging.wempy.id.cdn.cloudflare.net",""
"hostname","www.srcxff.shop.cdn.cloudflare.net",""
"hostname","www.spaziosalute.com.br.cdn.cloudflare.net",""
"hostname","www.smsphometechltd.com.cdn.cloudflare.net",""
"hostname","www.seelectrical.co.uk.cdn.cloudflare.net",""
"hostname","www.riofenix.com.cdn.cloudflare.net",""
"hostname","www.psptv.com.cdn.cloudflare.net",""
"hostname","www.proffbuhuslugi.ru.cdn.cloudflare.net",""
"hostname","www.porr24.com.cdn.cloudflare.net",""
"hostname","www.pflege-nidwalden.ch.cdn.cloudflare.net",""
"hostname","www.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","www.patriciagatlin.com.cdn.cloudflare.net",""
"hostname","www.noachgilor.co.il.cdn.cloudflare.net",""
"hostname","www.ndxyu.tw.cdn.cloudflare.net",""
"hostname","www.maymotors.com.tr.cdn.cloudflare.net",""
"hostname","www.marstechnolab.com.cdn.cloudflare.net",""
"hostname","www.mango365.co.za.cdn.cloudflare.net",""
"hostname","www.m46cloud3at.com.cdn.cloudflare.net",""
"hostname","www.lightnovelupdates.com.cdn.cloudflare.net",""
"hostname","www.lgbtqmonks.com.cdn.cloudflare.net",""
"hostname","www.legaltechmastery.com.cdn.cloudflare.net",""
"hostname","www.khairullahgghs.edu.bd.cdn.cloudflare.net",""
"hostname","www.julienetceline.com.cdn.cloudflare.net",""
"hostname","www.joxkp.tw.cdn.cloudflare.net",""
"hostname","www.ibmnews24.com.cdn.cloudflare.net",""
"hostname","www.hyphenmail.com.cdn.cloudflare.net",""
"hostname","www.guang-mei.com.cdn.cloudflare.net",""
"hostname","www.fornalemany.cat.cdn.cloudflare.net",""
"hostname","www.fmwkof.tw.cdn.cloudflare.net",""
"hostname","www.fascionistas.org.cdn.cloudflare.net",""
"hostname","www.euprapeace.org.cdn.cloudflare.net",""
"hostname","www.drphealth.com.cdn.cloudflare.net",""
"hostname","www.dresinegilmez.com.cdn.cloudflare.net",""
"hostname","www.designformare.com.cdn.cloudflare.net",""
"hostname","www.dekrett.com.cdn.cloudflare.net",""
"hostname","www.dctlv.com.cdn.cloudflare.net",""
"hostname","www.coinsfaq.com.cdn.cloudflare.net",""
"hostname","www.cloudverve.com.cdn.cloudflare.net",""
"hostname","www.campaign.wempy.id.cdn.cloudflare.net",""
"hostname","www.bigdatatennis.com.ar.cdn.cloudflare.net",""
"hostname","www.auto-import-export.com.cdn.cloudflare.net",""
"hostname","www.astrozombie69.com.cdn.cloudflare.net",""
"hostname","www.aqovbq.com.cn.cdn.cloudflare.net",""
"hostname","www.anissaty.com.cdn.cloudflare.net",""
"hostname","www.almagold.co.il.cdn.cloudflare.net",""
"hostname","www.admin.wempy.id.cdn.cloudflare.net",""
"hostname","www.accessempire.com.cdn.cloudflare.net",""
"hostname","www.9l9k.com.cdn.cloudflare.net",""
"hostname","www.82cgm.cn.cdn.cloudflare.net",""
"hostname","www.6927310.com.cdn.cloudflare.net",""
"hostname","www.37419558.cn.cdn.cloudflare.net",""
"hostname","www.35708697.cn.cdn.cloudflare.net",""
"hostname","www.05543899.xyz.cdn.cloudflare.net",""
"hostname","wordkeeper.com.cdn.cloudflare.net",""
"hostname","wilko.marketing.cdn.cloudflare.net",""
"hostname","wempy.id.cdn.cloudflare.net",""
"hostname","webuildsmileappeal.com.cdn.cloudflare.net",""
"hostname","vmesto.studio.cdn.cloudflare.net",""
"hostname","ultimatedraftkit.com.cdn.cloudflare.net",""
"hostname","ujaetm.com.cn.cdn.cloudflare.net",""
"hostname","themusicalsafari.com.cdn.cloudflare.net",""
"hostname","tapchixamhinh.com.cdn.cloudflare.net",""
"hostname","tamiia.com.cdn.cloudflare.net",""
"hostname","sugaridoo.com.cdn.cloudflare.net",""
"hostname","staging.wempy.id.cdn.cloudflare.net",""
"hostname","stage.noachgilor.co.il.cdn.cloudflare.net",""
"hostname","srcxff.shop.cdn.cloudflare.net",""
"hostname","smsphometechltd.com.cdn.cloudflare.net",""
"hostname","seelectrical.co.uk.cdn.cloudflare.net",""
"hostname","robanddave.com.cdn.cloudflare.net",""
"hostname","riofenix.com.cdn.cloudflare.net",""
"hostname","psptv.com.cdn.cloudflare.net",""
"hostname","proffbuhuslugi.ru.cdn.cloudflare.net",""
"hostname","portal.euprapeace.org.cdn.cloudflare.net",""
"hostname","porr24.com.cdn.cloudflare.net",""
"hostname","pineneedlefarms.ca.cdn.cloudflare.net",""
"hostname","pflege-nidwalden.ch.cdn.cloudflare.net",""
"hostname","pc-helpforum.be.cdn.cloudflare.net",""
"hostname","patriciagatlin.com.cdn.cloudflare.net",""
"hostname","oralfacsurg.com.cdn.cloudflare.net",""
"hostname","optimisemonespace.com.cdn.cloudflare.net",""
"hostname","ndxyu.tw.cdn.cloudflare.net",""
"hostname","maymotors.com.tr.cdn.cloudflare.net",""
"hostname","m46cloud3at.com.cdn.cloudflare.net",""
"hostname","lightnovelupdates.com.cdn.cloudflare.net",""
"hostname","lgbtqmonks.com.cdn.cloudflare.net",""
"hostname","legaltechmastery.com.cdn.cloudflare.net",""
"hostname","khairullahgghs.edu.bd.cdn.cloudflare.net",""
"hostname","julienetceline.com.cdn.cloudflare.net",""
"hostname","joxkp.tw.cdn.cloudflare.net",""
"hostname","ibmnews24.com.cdn.cloudflare.net",""
"hostname","hyphenmail.com.cdn.cloudflare.net",""
"hostname","hacktest.altervista.org.cdn.cloudflare.net",""
"hostname","guang-mei.com.cdn.cloudflare.net",""
"hostname","formation.optimisemonespace.com.cdn.cloudflare.net",""
"hostname","fmwkof.tw.cdn.cloudflare.net",""
"hostname","fivestrengths.com.cdn.cloudflare.net",""
"hostname","fascionistas.org.cdn.cloudflare.net",""
"hostname","faaswva.com.cdn.cloudflare.net",""
"hostname","euprapeace.org.cdn.cloudflare.net",""
"hostname","drphealth.com.cdn.cloudflare.net",""
"hostname","dresinegilmez.com.cdn.cloudflare.net",""
"hostname","drbeersdds.com.cdn.cloudflare.net",""
"hostname","designformare.com.cdn.cloudflare.net",""
"hostname","deephouselounge.com.cdn.cloudflare.net",""
"hostname","decoratingtapeinlosangelesca.com.cdn.cloudflare.net",""
"hostname","coinsfaq.com.cdn.cloudflare.net",""
"hostname","cloudverve.com.cdn.cloudflare.net",""
"hostname","clickyab.com.cdn.cloudflare.net",""
"hostname","cdn.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-7.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-6.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-5.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-4.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-3.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-2.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-1.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","cdn-0.pc-helpforum.be.cdn.cloudflare.net",""
"hostname","campaign.wempy.id.cdn.cloudflare.net",""
"hostname","cambridgenailsspa.co.uk.cdn.cloudflare.net",""
"hostname","bigdatatennis.com.ar.cdn.cloudflare.net",""
"hostname","auto-import-export.com.cdn.cloudflare.net",""
"hostname","aqovbq.com.cn.cdn.cloudflare.net",""
"hostname","anissaty.com.cdn.cloudflare.net",""
"hostname","almagold.co.il.cdn.cloudflare.net",""
"hostname","admin.wempy.id.cdn.cloudflare.net",""
"hostname","accessempire.com.cdn.cloudflare.net",""
"hostname","abellonioandrea.altervista.org.cdn.cloudflare.net",""
"hostname","9l9k.com.cdn.cloudflare.net",""
"hostname","8c7.cc.cdn.cloudflare.net",""
"hostname","82cgm.cn.cdn.cloudflare.net",""
"hostname","70293687.cn.cdn.cloudflare.net",""
"URL","http://wzyoxq.tw.cdn.cloudflare.net",""
"URL","http://www.yybtg.tw.cdn.cloudflare.net",""
"URL","http://www.ybuiv.com.cn.cdn.cloudflare.net",""
"URL","http://www.wzyoxq.tw.cdn.cloudflare.net",""
"URL","http://www.wordkeeper.com.cdn.cloudflare.net",""
"URL","http://www.wilko.marketing.cdn.cloudflare.net",""
"URL","http://www.wempy.id.cdn.cloudflare.net",""
"URL","http://www.vmesto.studio.cdn.cloudflare.net",""
"URL","http://www.ujaetm.com.cn.cdn.cloudflare.net",""
"URL","http://www.themusicalsafari.com.cdn.cloudflare.net",""
"URL","http://www.tapchixamhinh.com.cdn.cloudflare.net",""
"URL","http://www.tamiia.com.cdn.cloudflare.net",""
"URL","http://www.surgacerita.com.cdn.cloudflare.net",""
"URL","http://www.staging.wempy.id.cdn.cloudflare.net",""
"URL","http://www.srcxff.shop.cdn.cloudflare.net",""
"URL","http://www.spaziosalute.com.br.cdn.cloudflare.net",""
"URL","http://www.smsphometechltd.com.cdn.cloudflare.net",""
"URL","http://www.seelectrical.co.uk.cdn.cloudflare.net",""
"URL","http://www.riofenix.com.cdn.cloudflare.net",""
"URL","http://www.psptv.com.cdn.cloudflare.net",""
"URL","http://www.proffbuhuslugi.ru.cdn.cloudflare.net",""
"URL","http://www.porr24.com.cdn.cloudflare.net",""
"URL","http://www.pflege-nidwalden.ch.cdn.cloudflare.net",""
"URL","http://www.pc-helpforum.be.cdn.cloudflare.net",""
"URL","http://www.patriciagatlin.com.cdn.cloudflare.net",""
"URL","http://www.noachgilor.co.il.cdn.cloudflare.net",""
"URL","http://www.ndxyu.tw.cdn.cloudflare.net",""
"URL","http://www.maymotors.com.tr.cdn.cloudflare.net",""
"URL","http://www.marstechnolab.com.cdn.cloudflare.net",""
"URL","http://www.mango365.co.za.cdn.cloudflare.net",""
"URL","http://www.m46cloud3at.com.cdn.cloudflare.net",""
"URL","http://www.lightnovelupdates.com.cdn.cloudflare.net",""
"URL","http://www.lgbtqmonks.com.cdn.cloudflare.net",""
"URL","http://www.legaltechmastery.com.cdn.cloudflare.net",""
"URL","http://www.khairullahgghs.edu.bd.cdn.cloudflare.net",""
"URL","http://www.julienetceline.com.cdn.cloudflare.net",""
"URL","http://www.joxkp.tw.cdn.cloudflare.net",""
"URL","http://www.ibmnews24.com.cdn.cloudflare.net",""
"URL","http://www.hyphenmail.com.cdn.cloudflare.net",""
"URL","http://www.guang-mei.com.cdn.cloudflare.net",""
"URL","http://www.fornalemany.cat.cdn.cloudflare.net",""
"URL","http://www.fmwkof.tw.cdn.cloudflare.net",""
"URL","http://www.fascionistas.org.cdn.cloudflare.net",""
"URL","http://www.euprapeace.org.cdn.cloudflare.net",""
"URL","http://www.drphealth.com.cdn.cloudflare.net",""
"URL","http://www.dresinegilmez.com.cdn.cloudflare.net",""
"URL","http://www.designformare.com.cdn.cloudflare.net",""
"URL","http://www.dekrett.com.cdn.cloudflare.net",""
"URL","http://www.dctlv.com.cdn.cloudflare.net",""
"URL","http://www.coinsfaq.com.cdn.cloudflare.net",""
"URL","http://www.cloudverve.com.cdn.cloudflare.net",""
"URL","http://www.campaign.wempy.id.cdn.cloudflare.net",""
"URL","http://www.bigdatatennis.com.ar.cdn.cloudflare.net",""
"URL","http://www.auto-import-export.com.cdn.cloudflare.net",""
"URL","http://www.astrozombie69.com.cdn.cloudflare.net",""
"URL","http://www.aqovbq.com.cn.cdn.cloudflare.net",""
"URL","http://www.anissaty.com.cdn.cloudflare.net",""
"URL","http://www.almagold.co.il.cdn.cloudflare.net",""
"URL","http://www.admin.wempy.id.cdn.cloudflare.net",""
"URL","http://www.accessempire.com.cdn.cloudflare.net",""
"URL","http://www.9l9k.com.cdn.cloudflare.net",""
"URL","http://www.82cgm.cn.cdn.cloudflare.net",""
"URL","http://www.6927310.com.cdn.cloudflare.net",""
"URL","http://www.37419558.cn.cdn.cloudflare.net",""
"URL","http://www.35708697.cn.cdn.cloudflare.net",""
"URL","http://www.05543899.xyz.cdn.cloudflare.net",""
"URL","http://wordkeeper.com.cdn.cloudflare.net",""
"URL","http://wilko.marketing.cdn.cloudflare.net",""
"URL","http://wempy.id.cdn.cloudflare.net",""
"URL","http://webuildsmileappeal.com.cdn.cloudflare.net",""
"URL","http://vmesto.studio.cdn.cloudflare.net",""
"URL","http://ultimatedraftkit.com.cdn.cloudflare.net",""
"URL","http://ujaetm.com.cn.cdn.cloudflare.net",""
"URL","http://themusicalsafari.com.cdn.cloudflare.net",""
"URL","http://tapchixamhinh.com.cdn.cloudflare.net",""
"URL","http://tamiia.com.cdn.cloudflare.net",""
"URL","http://sugaridoo.com.cdn.cloudflare.net",""
"URL","http://staging.wempy.id.cdn.cloudflare.net",""
"URL","http://stage.noachgilor.co.il.cdn.cloudflare.net",""
"URL","http://srcxff.shop.cdn.cloudflare.net",""
"URL","http://smsphometechltd.com.cdn.cloudflare.net",""
"URL","http://seelectrical.co.uk.cdn.cloudflare.net",""
"URL","http://robanddave.com.cdn.cloudflare.net",""
"URL","http://riofenix.com.cdn.cloudflare.net",""
"URL","http://psptv.com.cdn.cloudflare.net",""
"URL","http://proffbuhuslugi.ru.cdn.cloudflare.net",""
"URL","http://portal.euprapeace.org.cdn.cloudflare.net",""
"URL","http://porr24.com.cdn.cloudflare.net",""
"URL","http://pineneedlefarms.ca.cdn.cloudflare.net",""
"URL","http://pflege-nidwalden.ch.cdn.cloudflare.net",""
