"Indicator type","Indicator","Description"
"domain","p-w-d.ru",""
"domain","betsila.ru",""
"domain","deltacomputers.ru",""
"domain","digitalbook.ru",""
"domain","evraas.ru",""
"domain","get-radio.ru",""
"domain","independent-contractor.ru",""
"domain","leadeventus.com",""
"domain","like-travel.ru",""
"domain","neologica.ru",""
"domain","ntdlabs.ru",""
"domain","personal-consent.ru",""
"domain","poldelam.ru",""
"domain","psk-service.ru",""
"domain","psk-servis.ru",""
"domain","rakhimov.ru",""
"domain","rusapart.com",""
"domain","rustahocontrol.ru",""
"domain","sanpinnorma.ru",""
"domain","silatepla.ru",""
"domain","tahograph.ru",""
"domain","vsedlyachaya.ru",""
"domain","zhkbristol.ru",""
"domain","zorikto-katami.com",""
"hostname","ftp.betsila.ru",""
"hostname","ftp.journalshop.ru",""
"hostname","ftp.khankhalaev.com",""
"hostname","ftp.kungfu-school.ru",""
"hostname","ftp.p-w-d.ru",""
"hostname","ftp.rusapart.com",""
"hostname","mail.betsila.ru",""
"hostname","mail.sanpinnorma.ru",""
"hostname","msp.softline.com",""
"hostname","nvidia.softline.com",""
"hostname","poisk.sanpinnorma.ru",""
"hostname","pop.betsila.ru",""
"hostname","pop.p-w-d.ru",""
"hostname","smtp.betsila.ru",""
"hostname","smtp.p-w-d.ru",""
"hostname","vks.softline.com",""
"hostname","web1.vm.www3hz.p-w-d.ru",""
"hostname","www.betsila.ru",""
"hostname","www.deltacomputers.ru",""
"hostname","www.digitalbook.ru",""
"hostname","www.get-radio.ru",""
"hostname","www.independent-contractor.ru",""
"hostname","www.like-travel.ru",""
"hostname","www.neologica.ru",""
"hostname","www.ntdlabs.ru",""
"hostname","www.personal-consent.ru",""
"hostname","www.poldelam.ru",""
"hostname","www.psk-service.ru",""
"hostname","www.psk-servis.ru",""
"hostname","www.rakhimov.ru",""
"hostname","www.rusapart.com",""
"hostname","www.rustahocontrol.ru",""
"hostname","www.sanpinnorma.ru",""
"hostname","www.silatepla.ru",""
"hostname","www.tahograph.ru",""
"hostname","www.vsedlyachaya.ru",""
"hostname","www.zhkbristol.ru",""
