"Indicator type","Indicator","Description"
"URL","http://scrumagilecourse.com",""
"URL","http://163-182-172-179.static.as40244.net",""
"URL","http://aband.business",""
"URL","http://accou.business",""
"URL","http://accuracyrigging.business",""
"URL","http://admitsociety.business",""
"URL","http://affordreversed.business",""
"URL","http://agree.business",""
"URL","http://airyopening.business",""
"URL","http://angleunctuous.business",""
"URL","http://antel.business",""
"URL","http://anxietyearth.okinawa",""
"URL","http://appearskull.business",""
"URL","http://appeasevoid.cologne",""
"URL","http://archc.business",""
"URL","http://ashescleave.markets",""
"URL","http://asideshow.business",""
"URL","http://aspirateceiling.business",""
"URL","http://assumingspice.business",""
"URL","http://attac.business",""
"URL","http://attachbustle.business",""
"URL","http://attai.business",""
"URL","http://autum.business",""
"URL","http://awkwa.business",""
"URL","http://ballastsmallpox.markets",""
"URL","http://banda.business",""
"URL","http://bandtent.business",""
"URL","http://basicpurple.business",""
"URL","http://basti.business",""
"URL","http://becom.business",""
"URL","http://behaviorprose.business",""
"URL","http://belte.business",""
"URL","http://benefitgracious.business",""
"URL","http://bival.business",""
"URL","http://bloombrass.business",""
"URL","http://boast.business",""
"URL","http://boiledrecent.business",""
"URL","http://breac.business",""
"URL","http://breezemustard.cologne",""
"URL","http://calyx.business",""
"URL","http://canvasslimited.business",""
"URL","http://changingentrails.business",""
"URL","http://cheatinflamed.business",""
"URL","http://cheesediscount.business",""
"URL","http://classpearly.business",""
"URL","http://clayi.business",""
"URL","http://cleft.business",""
"URL","http://cockh.business",""
"URL","http://conce.business",""
"URL","http://concludepoll.business",""
"URL","http://confi.business",""
"URL","http://confinedentrance.business",""
"URL","http://conic.business",""
"URL","http://consigntype.business",""
"URL","http://containancient.cologne",""
"URL","http://convexyellow.business",""
"URL","http://corna.business",""
"URL","http://cornercause.okinawa",""
"URL","http://cornscent.business",""
"URL","http://couns.business",""
"URL","http://creepingsportive.business",""
"URL","http://crueltyfinding.business",""
"URL","http://curre.business",""
"URL","http://dagge.business",""
"URL","http://darknessdejected.business",""
"URL","http://declareabove.business",""
"URL","http://dejectedgrind.business",""
"URL","http://depressquick.company",""
"URL","http://desireprint.cologne",""
"URL","http://destroyvigor.business",""
"URL","http://devoteperfume.beauty",""
"URL","http://diligentfriend.business",""
"URL","http://dishonormanual.cologne",""
"URL","http://diskl.business",""
"URL","http://dispe.business",""
"URL","http://dista.business",""
"URL","http://disti.business",""
"URL","http://distrainrigorous.business",""
"URL","http://distresscreature.cologne",""
"URL","http://divertdistill.business",""
"URL","http://divid.business",""
"URL","http://doublesoften.business",""
"URL","http://elect.business",""
"URL","http://elsep.business",""
"URL","http://embry.business",""
"URL","http://empha.business",""
"URL","http://ename.business",""
"URL","http://enlar.business",""
"URL","http://entiredoubt.business",""
"URL","http://entirelyback.business",""
"URL","http://eruptionsnatch.business",""
