"Indicator type","Indicator","Description"
"URL","http://comparegator.com","64ccbf1a50f2287a4d024753923009c66c39728d44fb0f4d13bcb85a6d1baa0a"
"URL","http://curtainbarter.com",""
"URL","http://ideyum.online",""
"URL","http://ivipup.online",""
"URL","http://judgediligent.com",""
"URL","http://meaningbasket.com",""
"URL","http://quietlyalphabet.com",""
"domain","comparegator.com",""
"domain","curtainbarter.com",""
"domain","ideyum.online",""
"domain","ivipup.online",""
"domain","judgediligent.com",""
"domain","meaningbasket.com",""
"domain","quietlyalphabet.com",""
"hostname","ns1.blastdns.net",""
"hostname","ns2.pubfastdns.com",""
