"Indicator type","Indicator","Description"
"hostname","bankdetails.esw.com",""
"hostname","cdn.lab4u.co",""
"hostname","intv2-cdn-ltiservicemanage.v3nonprod.connexus.com",""
"hostname","lmsassets.lntedutech.com",""
"hostname","verify.coop.org",""
"hostname","www.a-soldiers-journey.co.uk",""
"hostname","www.addictivemedia.biz",""
"hostname","www.dailyatheistquote.com",""
"hostname","www.deskish.com",""
"hostname","www.dmcappraisals.com",""
"hostname","www.drvicki.org",""
"hostname","www.enteringthehealingground.com",""
"hostname","www.inter-acting.org",""
"hostname","www.interbent.com",""
"hostname","www.mtbpa.org",""
"hostname","www.photo-copy-restore.com",""
"hostname","www.pphbiologics.pl",""
"hostname","www.scripophilynews.com",""
"hostname","www.wowinnovators.com",""
"hostname","www.yepayepa.net",""
"FileHash-SHA256","11a55742085119c13748baca053d8d793d0d3f78f6566276c866c6564bdeba6e",""
"FileHash-SHA256","2932989e58c7f19ed980c2686fdbe820d9d40f4831680fc8f736bc3917e47aa7",""
"FileHash-SHA256","3170fc16bbcd30f4944771090f0367d223951a30702efaf52320341843df4f20",""
"FileHash-SHA256","32331925ed5afb7151a482b9470a42150f4fe6b36cbc20d9b2a12be448e9c426",""
"FileHash-SHA256","34bb655ccbe212f6bc6a5b18e2407766592a72b92e40d0261b1acc44a2007b96",""
"FileHash-SHA256","431b29b8014de77d922508237cb6d5cb5292a65478d0caf8398c1fbd6ec812fd",""
"FileHash-SHA256","4783a122826a39281df11ef703eaaf957dbe11a163cc2e92bb42fbea9a5356ac",""
"FileHash-SHA256","541a56f2d1eb23c72a41b42b2b9160c3289a56f39c88ee960a31853fda9a92df",""
"FileHash-SHA256","65dcec457c99d635b8a4c4e650def86f6be42e145673295d83e3f7e659086a32",""
"FileHash-SHA256","79b6dba46bdae414c8b144081f46af1fc38739ee4b95d047abcb52397006f779",""
"FileHash-SHA256","7e8809d11f4fddac04a0a804b6b2b5ee419cdc3c2ac54981bc96c85473920c31",""
"FileHash-SHA256","a32dc5a59ff91494811be05dbe232ca85eb0dff2c460cfdd9db86e6a50e08f70",""
"FileHash-SHA256","a4938a563e122bf18cd6a68c6f25464c729d775696b24e087c020beb314cea5e",""
"FileHash-SHA256","b4d36e3ce87d783c33195adff561c40eb6d99fd530600db658de1fdc4310dc6a",""
"FileHash-SHA256","c0155c59dd1be84348dc0d99269b3bb79e8ec4181e28d9295d087dc849a14221",""
"FileHash-SHA256","c19672a95762af434af49e11d0dd8730073db064b02c011288e7976bbffcca43",""
"FileHash-SHA256","d0442f78d1c8f2231cb263e3c276b423ed57b4bede22e32780beb72877722ba8",""
