"Indicator type","Indicator","Description"
"URL","http://jeepkyr.com",""
"URL","http://abacat.online",""
"URL","http://absolutepeacefu.com",""
"URL","http://abuxud.online",""
"URL","http://acidchord.com",""
"URL","http://acubad.online",""
"URL","http://afiniv.online",""
"URL","http://agurew.online",""
"URL","http://ajejir.online",""
"URL","http://allegeshallow.com",""
"URL","http://apadup.online",""
"URL","http://ardenthoney.com",""
"URL","http://arepom.online",""
"URL","http://arrayconquer.com",""
"URL","http://arrivalcoating.com",""
"URL","http://ascendconfer.com",""
"URL","http://asserttreasure.com",""
"URL","http://asubam.online",""
"URL","http://attendedhackney.com",""
"URL","http://atumev.online",""
"URL","http://audibleensign.com",""
"URL","http://avajan.online",""
"URL","http://awexip.online",""
"URL","http://axiruw.online",""
"URL","http://azetir.online",""
"URL","http://beatingsolemn.com",""
"URL","http://becomeacting.com",""
"URL","http://benefitanger.com",""
"URL","http://betteracrid.com",""
"URL","http://beverageunequal.com",""
"URL","http://beyondsweeten.com",""
"URL","http://biasremain.com",""
"URL","http://bladetuft.com",""
"URL","http://boastingsprout.com",""
"URL","http://bodiesmaintain.com",""
"URL","http://bodyeducate.com",""
"URL","http://bohemianmagnify.com",""
"URL","http://breechesvice.com",""
"URL","http://capacityimpuden.com",""
"URL","http://christbolt.com",""
"URL","http://claspformer.com",""
"URL","http://clergyevery.com",""
"URL","http://coarseuseless.com",""
"URL","http://comfortstale.com",""
"URL","http://consentderision.com",""
"URL","http://contactfineness.com",""
"URL","http://contactomission.com",""
"URL","http://contentsquicken.com",""
"URL","http://criminaltravele.com",""
"URL","http://crookedrightful.com",""
"URL","http://dartalone.com",""
"URL","http://dartrustic.com",""
"URL","http://decisiontent.com",""
"URL","http://defileprinting.com",""
"URL","http://deliveryaffront.com",""
"URL","http://depositcarry.com",""
"URL","http://derisionextend.com",""
"URL","http://deviltrivial.com",""
"URL","http://differromantic.com",""
"URL","http://discoverattache.com",""
"URL","http://diseaseappoint.com",""
"URL","http://distillbehind.com",""
"URL","http://diurnalgigantic.com",""
"URL","http://draughtcarrier.com",""
"URL","http://drinkinggill.com",""
"URL","http://earlyeruption.com",""
"URL","http://easeact.online",""
"URL","http://ebijef.online",""
"URL","http://efatit.online",""
"URL","http://ehamat.online",""
"URL","http://elehow.online",""
"URL","http://eloxaz.online",""
"URL","http://epifud.online",""
"URL","http://epociy.online",""
"URL","http://eretuw.online",""
"URL","http://erijol.online",""
"URL","http://erinoj.online",""
"URL","http://esoxon.online",""
"URL","http://etekur.online",""
"URL","http://etuxim.online",""
"URL","http://europeandispose.com",""
"URL","http://evihuv.online",""
"URL","http://ewisab.online",""
"URL","http://ewolek.online",""
"URL","http://ewurep.online",""
"URL","http://exafed.online",""
"URL","http://exibek.online",""
"URL","http://exijaj.online",""
"URL","http://externalcherry.com",""
"URL","http://factorlifeless.com",""
"URL","http://famousbankrupt.com",""
"URL","http://famoussnake.com",""
"URL","http://farealone.com",""
"URL","http://femalethey.com",""
"URL","http://fillethonesty.com",""
"URL","http://fillpresent.com",""
"URL","http://flagpuzzle.com",""
"URL","http://flightbirth.com",""
"URL","http://foilnear.com",""
"URL","http://forbidpale.com",""
"URL","http://forcingoxygen.com",""
"URL","http://forroad.online",""
"URL","http://givingsilicon.com",""
"URL","http://gloryrupture.com",""
"URL","http://goodfigured.com",""
"URL","http://governhistory.com",""
"URL","http://graduatecompres.com",""
"URL","http://gratifyjoin.com",""
"URL","http://guardianpush.com",""
"URL","http://happyremove.com",""
"URL","http://harshmodesty.com",""
"URL","http://hastilybring.com",""
"URL","http://hebrewdesolate.com",""
"URL","http://herringtenth.com",""
"URL","http://holdabruptly.com",""
"URL","http://honorarydesign.com",""
"URL","http://honorfolly.com",""
"URL","http://hourprince.com",""
"URL","http://iderom.online",""
"URL","http://idlenessflame.com",""
"URL","http://ihuwin.online",""
"URL","http://ikicer.online",""
"URL","http://ikoziw.online",""
"URL","http://ilokop.online",""
"URL","http://indieclk.online",""
"URL","http://industrypursuit.com",""
"URL","http://infusiondistant.com",""
"URL","http://insnarekind.com",""
"URL","http://ipebip.online",""
"URL","http://irazog.online",""
"URL","http://isacuj.online",""
"URL","http://isavar.online",""
"URL","http://iwamof.online",""
"URL","http://iyobeb.online",""
"URL","http://izodor.online",""
"URL","http://jointedriddle.com",""
"URL","http://largefitting.com",""
"URL","http://lighterreduce.com",""
"URL","http://likelysickly.com",""
"URL","http://longrefuse.com",""
"URL","http://mammalswarranty.com",""
"URL","http://marchshade.com",""
"URL","http://marginintrude.com",""
"URL","http://matchliteral.com",""
"URL","http://maturerider.com",""
"URL","http://mealmurmur.com",""
"URL","http://mechanicspear.com",""
"URL","http://meltingnoxious.com",""
"URL","http://moleculefortres.com",""
"URL","http://motivemammals.com",""
"URL","http://mountainunfold.com",""
"URL","http://movementthroat.com",""
"URL","http://mutualallay.com",""
"URL","http://natureprivacy.com",""
"URL","http://networkspongy.com",""
"URL","http://numbersoothe.com",""
"URL","http://officerroving.com",""
"URL","http://offsetcrime.com",""
"URL","http://ofized.online",""
"URL","http://ofudat.online",""
"URL","http://ofuwoz.online",""
"URL","http://ogufej.online",""
"URL","http://ogutok.online",""
"URL","http://olevir.online",""
"URL","http://onetid.online",""
"URL","http://onifaw.online",""
"URL","http://opuhor.online",""
"URL","http://orthodoxdolphin.com",""
"URL","http://osekab.online",""
"URL","http://oxeyup.online",""
"URL","http://oyonay.online",""
"URL","http://packagedisfavor.com",""
"URL","http://painkindred.com",""
"URL","http://paintromance.com",""
"URL","http://partiesplastic.com",""
"URL","http://partlyvoltaic.com",""
"URL","http://patentdialect.com",""
"URL","http://piercingancient.com",""
"URL","http://pleaddignity.com",""
"URL","http://pointedboarding.com",""
"URL","http://polaritytiller.com",""
"URL","http://polishscramble.com",""
"URL","http://popesoul.com",""
"URL","http://porousremoving.com",""
"URL","http://positivevigor.com",""
"URL","http://preventread.com",""
"URL","http://prickingabnorma.com",""
"URL","http://princemelt.com",""
"URL","http://producedgain.com",""
"URL","http://prosebreed.com",""
"URL","http://quillsweeten.com",""
"URL","http://rabblevascular.com",""
"URL","http://railsee.online",""
"URL","http://rambleaction.com",""
"URL","http://reacheject.com",""
"URL","http://recitalocean.com",""
"URL","http://registertide.com",""
"URL","http://regularangle.com",""
"URL","http://relaxdivert.com",""
"URL","http://remoteplaced.com",""
"URL","http://removeopposed.com",""
"URL","http://rentfreezing.com",""
"URL","http://rescuebuffoon.com",""
"URL","http://reservedflashin.com",""
"URL","http://retortmassive.com",""
"URL","http://reviveinclude.com",""
"URL","http://ridiculeboom.com",""
"URL","http://rippleaccuse.com",""
"URL","http://riseturnpike.com",""
"URL","http://rosebut.online",""
"URL","http://roundedflavor.com",""
"URL","http://roundishmoistur.com",""
"URL","http://ruggeddefine.com",""
"URL","http://saidset.online",""
"URL","http://sanctitysinging.com",""
"URL","http://saucename.com",""
"URL","http://scoldshed.com",""
"URL","http://sectionsurgery.com",""
"URL","http://senatedoublet.com",""
"URL","http://sentoutward.com",""
"URL","http://showylife.com",""
"URL","http://similarcreep.com",""
"URL","http://slackenthrowing.com",""
"URL","http://slackgeometry.com",""
"URL","http://slanderchapter.com",""
"URL","http://smokecruel.com",""
"URL","http://societycleavage.com",""
"URL","http://soliditycheek.com",""
"URL","http://spikefibrous.com",""
"URL","http://stabsmart.com",""
"URL","http://statuefeminine.com",""
"URL","http://stealingperson.com",""
"URL","http://streaksuck.com",""
"URL","http://strifedeputy.com",""
"URL","http://stronglyelegant.com",""
"URL","http://sweepinfinite.com",""
"URL","http://swellingcipher.com",""
"URL","http://talkset.online",""
"URL","http://thickeneminence.com",""
"URL","http://tingestring.com",""
