"Indicator type","Indicator","Description"
"domain","bluesenate.com",""
"URL","http://bluesenate.com/l/O8Vhz",""
"URL","https://bluesenate.com/l/O8Vhz",""
"FileHash-SHA256","0463d5f35cb6ba4b5e60506132d955e2342f40be465ed5cc7571381447bcdc02",""
"domain","12angrysisters.com",""
"domain","a-map-to-contact.site",""
"domain","airbridge.xyz",""
"domain","amadecasa.com",""
"domain","cmps369finalprojectcoreyalaburda.xyz",""
"domain","devybox.com",""
"domain","economicherald.org",""
"domain","galiano.dev",""
"domain","glitchnetwork.xyz",""
"domain","joseadolfo.pro",""
"domain","jungler.pro",""
"domain","kamilwysocki.com",""
"domain","kuromi.lol",""
"domain","lahoreescort.online",""
"domain","learnweb3.io",""
"domain","likeat-cateringdietetyczny.pl",""
"domain","metadash.io",""
"domain","migallito.mx",""
"domain","musclemanager.pro",""
"hostname","pr-19914.oa-staging.co.uk",""
"domain","rcnj-cmps369-production.store",""
"hostname","record.2web.ca",""
"domain","screenshottocodewizard.com",""
"domain","securerep-bankofamerica.com",""
"domain","securesignin.sbs",""
"domain","sneakers-cheap.com",""
"domain","tinydaph.io",""
"domain","vicodecoffee.online",""
"domain","webdevfinaltara.pro",""
"domain","wizardofpico.com",""
"domain","wordrace.net",""
"hostname","www.faithcrisiscompanion.com",""
"URL","http://12angrysisters.com",""
"URL","http://kamilwysocki.com",""
"URL","http://screenshottocodewizard.com/",""
"URL","http://wizardofpico.com/",""
"URL","https://12angrysisters.com",""
"URL","https://airbridge.xyz/",""
"URL","https://amadecasa.com/",""
"URL","https://edi.gg/",""
"URL","https://kamilwysocki.com",""
"URL","https://kuromi.lol/",""
"URL","https://learnweb3.io/faucets/base_sepolia/",""
"URL","https://likeat-cateringdietetyczny.pl/menu/",""
"URL","https://screenshottocodewizard.com/",""
"URL","https://securerep-bankofamerica.com",""
"URL","https://securerep-bankofamerica.com/",""
"URL","https://securesignin.sbs/",""
"URL","https://tinydaph.io/",""
"URL","https://wizardofpico.com/",""
"hostname","beta.amadecasa.com",""
"hostname","staging.amadecasa.com",""
"URL","http://www.amadecasa.com",""
"URL","http://www.amadecasa.com/",""
"URL","http://www.amadecasa.com/bano/accesorios/toalla-para-el-cabello.html",""
"URL","http://www.amadecasa.com/organizacion/organizacion/organizador-viajero/bolso-plegable.htm",""
"URL","https://www.amadecasa.com/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYW1hZGVjYXNhLmNvbS9jb2xlY2Npb25lcy5odG1sP3A9MiZhamF4Y2F0YWxvZz10cnVl/product/4240/form_key/ShY4luCLOeugjdvY/",""
"URL","https://www.amadecasa.com/checkout/cart/add/uenc/aHR0cHM6Ly93d3cuYW1hZGVjYXNhLmNvbS9raWRzLWJhYmllcy5odG1s/product/3886/form_key/IQiAUlQcx6vG0CMV/",""
"hostname","cookbook.kamilwysocki.com",""
"hostname","ekspozycja.kamilwysocki.com",""
"URL","http://blog.kamilwysocki.com/",""
"URL","http://blog.kamilwysocki.com/2010/08/sigma-50mm-f1-4-ex-dg-hsm-vs-canon-50mm-f1-4-usm",""
"URL","http://cookbook.kamilwysocki.com",""
"URL","http://ekspozycja.kamilwysocki.com",""
"URL","https://cookbook.kamilwysocki.com",""
"URL","https://ekspozycja.kamilwysocki.com",""
"URL","https://www.cookbook.kamilwysocki.com/przepis/pulled-beef-szarpana-wolowina",""
"hostname","beta.learnweb3.io",""
"hostname","blog.learnweb3.io",""
"hostname","ipfs.learnweb3.io",""
"hostname","matrix.learnweb3.io",""
"hostname","staging.learnweb3.io",""
"URL","https://learnweb3.io/faucets/sepolia/",""
"hostname","zamowienia.likeat-cateringdietetyczny.pl",""
"hostname","clerk.wizardofpico.com",""
