"Indicator type","Indicator","Description"
"URL","http://abovevertebra.finance",""
"URL","http://abstractchurch.finance",""
"URL","http://affordwedlock.finance",""
"URL","http://alarmmention.finance",""
"URL","http://allowresponse.finance",""
"URL","http://aluminasharp.finance",""
"URL","http://anxietysermon.finance",""
"URL","http://appearlady.finance",""
"URL","http://approachivory.finance",""
"URL","http://aquaticcoarse.finance",""
"URL","http://archretain.finance",""
"URL","http://artificeecstasy.finance",""
"URL","http://bargaindistance.finance",""
"URL","http://bastardguess.finance",""
"URL","http://beautytertiary.ventures",""
"URL","http://brickfleet.finance",""
"URL","http://broughtsincere.finance",""
"URL","http://bushcoupling.finance",""
"URL","http://businessdwelling.finance",""
"URL","http://cannoncowardly.finance",""
"URL","http://canonsleep.finance",""
"URL","http://canvaswinter.finance",""
"URL","http://carriernarrowly.ventures",""
"URL","http://caststand.finance",""
"URL","http://centralorange.finance",""
"URL","http://chickenkeen.finance",""
"URL","http://childishbury.finance",""
"URL","http://civilunfold.finance",""
"URL","http://classrugged.photography",""
"URL","http://claychestnut.finance",""
"URL","http://coalcollapse.finance",""
"URL","http://coatingpatch.finance",""
"URL","http://coloredstomach.finance",""
"URL","http://combremoving.finance",""
"URL","http://considerstill.ventures",""
"URL","http://contendstraddle.finance",""
"URL","http://createinherit.finance",""
"URL","http://crossbowinitiate.finance",""
"URL","http://crowdballast.finance",""
"URL","http://dashpleasant.ventures",""
"URL","http://defendfitting.finance",""
"URL","http://defraudhang.finance",""
"URL","http://devotegate.finance",""
"URL","http://dignitymixture.finance",""
"URL","http://disclosebird.finance",""
"URL","http://disfavorclear.finance",""
"URL","http://disgustspelling.ventures",""
"URL","http://disposewindlass.finance",""
"URL","http://dissentguard.finance",""
"URL","http://doublingwaste.finance",""
"URL","http://educatesheep.finance",""
"URL","http://eighthtotal.finance",""
"URL","http://emptydistaste.engineering",""
"URL","http://emptystyle.finance",""
"URL","http://enforcehound.finance",""
"URL","http://enrichsorrow.finance",""
"URL","http://evacuatehardness.finance",""
"URL","http://extendtruly.finance",""
"URL","http://fashionaffront.finance",""
"URL","http://fertilepotent.ventures",""
"URL","http://flyingplait.finance",""
"URL","http://forfeitprince.finance",""
"URL","http://framecancer.finance",""
"URL","http://framelicensed.finance",""
"URL","http://geniusfish.finance",""
"URL","http://gooseexcavate.finance",""
"URL","http://grainsheavenly.finance",""
"URL","http://grantserious.finance",""
"URL","http://guardianalready.finance",""
"URL","http://guiltspear.finance",""
"URL","http://herdaffected.finance",""
"URL","http://hesitateapplause.finance",""
"URL","http://highlyextended.finance",""
"URL","http://immaturebelt.finance",""
"URL","http://inflamedglobular.finance",""
"URL","http://inflatecoupling.ventures",""
"URL","http://inflaterash.ventures",""
"URL","http://inspectmineral.finance",""
"URL","http://intendmoney.finance",""
"URL","http://isomericsharpen.finance",""
"URL","http://ivorywheat.finance",""
"URL","http://journeygrain.finance",""
"URL","http://kingthrow.finance",""
"URL","http://knowfortune.ventures",""
"URL","http://layingenglish.finance",""
"URL","http://leavesaverage.finance",""
"URL","http://ligaturebeneath.finance",""
"URL","http://limberlaudable.finance",""
"URL","http://listclutch.finance",""
"URL","http://localityhinder.finance",""
"URL","http://longorthodox.finance",""
"URL","http://meannesssilurian.finance",""
"URL","http://mediateframe.finance",""
"URL","http://metalmarine.finance",""
"URL","http://moistenbond.finance",""
"URL","http://monopolylearned.finance",""
"URL","http://morbidtriangle.finance",""
"URL","http://mortifyremark.ventures",""
"URL","http://movinglight.finance",""
"URL","http://muzzlerisk.ventures",""
"URL","http://nativeluxury.finance",""
"URL","http://nativetest.ventures",""
"URL","http://nearlybring.finance",""
"URL","http://networkentirely.ventures",""
