"Indicator type","Indicator","Description"
"email","lan@ukktorgavto.ru",""
"domain","ukktorgavto.ru",""
"FileHash-SHA256","188ed6de2e823c3f84d285f5cdf0ff7df5d6220a73f79fa841670d86e0aa2d00",""
"FileHash-SHA256","57348cb11d865c2eca4f05333b8d29f47f58f4be3c967f75a8236b1a0b7ba666",""
"FileHash-SHA256","87a6b9400a4179487630976e3c634ad8c60866f9a4dbd61620d211cce1f79008",""
"domain","avtosphera.ru",""
"domain","baul-hockey.ru",""
"domain","boostbeauty.ru",""
"domain","cenerentola.ru",""
"domain","dara.su",""
"hostname","dushanbe.rino-sport.com",""
"domain","lavinamag.ru",""
"domain","leroywood.ru",""
"domain","lukoil-epu.ru",""
"domain","my-oblachko.ru",""
"domain","nilse-saratov.ru",""
"domain","palmira45.ru",""
"hostname","prokopevsk.repetitor-gradient.ru",""
"hostname","voronezh.rino-sport.com",""
"domain","xn--80aaouheheijjm8n.xn--p1ai",""
"URL","http://lukoil-epu.ru/page/itc-sinergeticeskii-effekt-zameny-v-uecn-i-uevn-ped-na-vd-i-vvd",""
"URL","http://nilse-saratov.ru/media/system/js/caption.js",""
"URL","http://nilse-saratov.ru/media/system/js/mootools.js",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Block-h.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Block-v.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/BlockContent-h.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/BlockContent-s.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/BlockContent-v.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/BlockContentBullets.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Footer.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Header.jpg",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Page-BgSimpleGradient.jpg",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Post-s.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Sheet-c.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Sheet-v.png",""
"URL","http://nilse-saratov.ru/templates/system/css/system.css",""
"URL","http://ukktorgavto.ru/",""
"URL","https://baul-hockey.ru/bauly-hokkejnye-na-kolesah/",""
"URL","https://palmira45.ru/magazini/",""
"URL","https://xn--80aaouheheijjm8n.xn--p1ai/",""
"URL","http://avtosphera.ru/wp-content/plugins/wpdatatables/assets/js/php-datatables/wpdatatables.funcs.min.js",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/greensock.js",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.kreaturamedia.jquery.js",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/config-layerslider/LayerSlider/static/js/layerslider.transitions.js",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/js/aviapopup",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/js/aviapopup/jquery.magnific-popup.min.js",""
"URL","http://avtosphera.ru/wp-content/themes/enfold/js/shortcodes.js",""
"URL","http://avtosphera.ru/wp-includes/js/jquery/jquery-migrate.min.js",""
"URL","http://avtosphera.ru/wp-includes/js/jquery/jquery.js",""
"URL","http://avtosphera.ru/wp-includes/js/jquery/ui/core.min.js",""
"URL","http://avtosphera.ru/wp-includes/js/mediaelement",""
"URL","http://avtosphera.ru/wp-includes/js/mediaelement/mediaelement-and-player.min.js",""
"URL","http://avtosphera.ru/wp-includes/js/mediaelement/wp-mediaelement.min.js",""
"URL","http://avtosphera.ru/wp-includes/js/wp-embed.min.js",""
"hostname","espcontrol.lukoil-epu.ru",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/BlockHeader.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Header.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Post-h.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/images/Sheet-s.png",""
"URL","http://nilse-saratov.ru/templates/nilse_new2/script.js",""
"URL","http://www.palmira45.ru",""
"URL","http://www.palmira45.ru/akci",""
"URL","http://www.palmira45.ru/article/miss-baby-rol",""
