"Indicator type","Indicator","Description"
"URL","https://31-42-177-65.cprapid.com",""
"URL","https://aband.business",""
"URL","https://abate.software",""
"URL","https://abletextil.discount",""
"URL","https://abnor.business",""
"URL","https://abnormal.associates",""
"URL","https://abodehabitu.cricket",""
"URL","https://abort.shopping",""
"URL","https://abrid.business",""
"URL","https://abroadbon.community",""
"URL","https://abrup.shopping",""
"URL","https://absenceha.community",""
"URL","https://absencen.associates",""
"URL","https://absentoriginal.business",""
"URL","https://abstracttem.limited",""
"URL","https://absur.software",""
"URL","https://abundantbis.limited",""
"URL","https://abusenat.associates",""
"URL","https://academyspi.builders",""
"URL","https://accep.business",""
"URL","https://accou.business",""
"URL","https://accountbroo.limited",""
"URL","https://accur.lighting",""
"URL","https://accuracyen.discount",""
"URL","https://accuracyrigging.business",""
"URL","https://accuseratio.cricket",""
"URL","https://acrosspublic.markets",""
"URL","https://acrossvein.cologne",""
"URL","https://activeindi.builders",""
"URL","https://actua.shopping",""
"URL","https://acuteathlet.limited",""
"URL","https://addre.shopping",""
"URL","https://adherewelc.discount",""
"URL","https://adhesi.exposed",""
"URL","https://admitsociety.business",""
"URL","https://adorn.software",""
"URL","https://adulterym.community",""
"URL","https://advan.software",""
"URL","https://advicetrave.florist",""
"URL","https://affai.shopping",""
"URL","https://affectassau.florist",""
"URL","https://affectedsol.cricket",""
"URL","https://affectfo.associates",""
"URL","https://affix.shopping",""
"URL","https://affordreversed.business",""
"URL","https://after.software",""
"URL","https://againdra.associates",""
"URL","https://agenc.business",""
"URL","https://agili.shopping",""
"URL","https://agree.business",""
"URL","https://agreegain.discount",""
"URL","https://airyopening.business",""
"URL","https://alkal.business",""
"URL","https://alkaloidm.community",""
"URL","https://allow.shopping",""
"URL","https://alphabetas.shopping",""
"URL","https://alreadyfa.vacations",""
"URL","https://alsofirmnes.cricket",""
"URL","https://altit.lighting",""
"URL","https://alway.shopping",""
"URL","https://ambitionmut.florist",""
"URL","https://ameri.business",""
"URL","https://ammoni.digital",""
"URL","https://ancie.business",""
"URL","https://angle.business",""
"URL","https://anglessoul.builders",""
"URL","https://angleunctuous.business",""
"URL","https://angry.training",""
"URL","https://angryche.associates",""
"URL","https://animatedsi.discount",""
"URL","https://antel.business",""
"URL","https://antelopepolitics.cologne",""
"URL","https://antiquelimi.florist",""
"URL","https://anxietyearth.okinawa",""
"URL","https://apartnerve.florist",""
"URL","https://aperturein.discount",""
"URL","https://appearskull.business",""
"URL","https://appeasevoid.cologne",""
"URL","https://appen.shopping",""
"URL","https://applie.digital",""
"URL","https://apron.training",""
"URL","https://aquat.shopping",""
"URL","https://archb.software",""
"URL","https://archc.business",""
"URL","https://argum.business",""
"URL","https://arisealcoho.cricket",""
"URL","https://ariseconfo.shopping",""
"URL","https://armsband.cricket",""
"URL","https://armsf.shopping",""
"URL","https://arran.business",""
"URL","https://arrang.exposed",""
"URL","https://arraysurvey.florist",""
"URL","https://arrayward.discount",""
"URL","https://arres.shopping",""
"URL","https://artfu.shopping",""
"URL","https://artle.software",""
"URL","https://artlesswou.discount",""
"URL","https://ascen.shopping",""
"URL","https://ashescleave.markets",""
"URL","https://asideshow.business",""
"URL","https://aspirateceiling.business",""
"URL","https://assem.software",""
"URL","https://assembl.market",""
"URL","https://asser.shopping",""
"URL","https://asser.software",""
"URL","https://assignbu.associates",""
"URL","https://assisti.market",""
"URL","https://assistwheat.florist",""
"URL","https://assumetail.cologne",""
"URL","https://assumingspice.business",""
"URL","https://athle.shopping",""
"URL","https://athleticapp.florist",""
"URL","https://attac.business",""
"URL","https://attac.software",""
"URL","https://attachbustle.business",""
"URL","https://attachedven.limited",""
"URL","https://attai.business",""
"URL","https://attem.shopping",""
"URL","https://attende.market",""
"URL","https://attitudeeas.limited",""
"URL","https://attorneyent.limited",""
"URL","https://attractfund.limited",""
"URL","https://attractsh.community",""
"URL","https://auctionh.associates",""
"URL","https://audibl.exposed",""
"URL","https://augmentextr.cricket",""
"URL","https://augmentwin.builders",""
"URL","https://auste.business",""
"URL","https://autum.business",""
"URL","https://awayr.shopping",""
"URL","https://awkwa.business",""
"URL","https://awkwardimme.cricket",""
"URL","https://backwardwho.florist",""
"URL","https://bailselfis.discount",""
"URL","https://ballastsmallpox.markets",""
"URL","https://ballooncl.community",""
"URL","https://ballr.shopping",""
"URL","https://balsamspli.builders",""
"URL","https://balsamstep.cricket",""
"URL","https://banda.business",""
"URL","https://bandtent.business",""
"URL","https://bankruptpu.discount",""
"URL","https://barki.training",""
"URL","https://barte.training",""
"URL","https://basichostil.limited",""
"URL","https://basicpurple.business",""
"URL","https://basictou.associates",""
"URL","https://basketpaper.cricket",""
"URL","https://bassbackbone.lighting",""
"URL","https://basse.business",""
"URL","https://bastardcalcium.okinawa",""
"URL","https://basti.business",""
"URL","https://batte.shopping",""
"URL","https://bearingchor.limited",""
"URL","https://beatin.exposed",""
"URL","https://beatingdisk.limited",""
"URL","https://beatingheap.limited",""
"URL","https://beatj.shopping",""
"URL","https://becom.business",""
"URL","https://becom.shopping",""
"URL","https://beetl.business",""
"URL","https://behaviorprose.business",""
"URL","https://behindchloride.business",""
"URL","https://belie.business",""
"URL","https://belie.software",""
"URL","https://belle.training",""
"URL","https://below.business",""
"URL","https://belte.business",""
"URL","https://beltpeppe.community",""
"URL","https://beltteacher.cricket",""
"URL","https://bench.business",""
"URL","https://benefitgracious.business",""
"URL","https://bentp.shopping",""
"URL","https://benzenespe.shopping",""
"URL","https://betra.business",""
"URL","https://bette.software",""
"URL","https://biasevacu.community",""
"URL","https://biasweaving.limited",""
"URL","https://birch.software",""
"URL","https://birchvivaci.limited",""
"URL","https://birthreversed.okinawa",""
"URL","https://bishopabsur.limited",""
"URL","https://bismuthna.community",""
"URL","https://bismuthover.florist",""
"URL","https://bitefav.market",""
"URL","https://bitterprese.limited",""
"URL","https://bival.business",""
"URL","https://blamebow.associates",""
"URL","https://blastbony.builders",""
"URL","https://blasttumble.okinawa",""
"URL","https://blemis.digital",""
"URL","https://bless.shopping",""
"URL","https://bloombrass.business",""
"URL","https://bloomwed.associates",""
"URL","https://blust.shopping",""
"URL","https://blusterexci.limited",""
"URL","https://boardpotash.cricket",""
"URL","https://boast.business",""
"URL","https://bodiesatta.discount",""
"URL","https://bodyr.business",""
"URL","https://bodyz.business",""
"URL","https://bohemi.exposed",""
"URL","https://boile.business",""
"URL","https://boiledrecent.business",""
"URL","https://boilingbor.discount",""
"URL","https://bondneed.associates",""
"URL","https://bondweight.discount",""
"URL","https://bonyministr.limited",""
"URL","https://bookd.software",""
"URL","https://bosom.shopping",""
"URL","https://bosomincome.limited",""
"URL","https://bottomwarra.limited",""
"URL","https://bound.shopping",""
"URL","https://brack.shopping",""
"URL","https://brake.shopping",""
"URL","https://breachwinge.florist",""
"URL","https://breastspira.cricket",""
"URL","https://breechm.market",""
"URL","https://breechthin.cricket",""
"URL","https://breed.software",""
"URL","https://breedingmo.discount",""
"URL","https://breeze.exposed",""
"URL","https://breezemustard.cologne",""
"URL","https://bridl.business",""
"URL","https://bridl.shopping",""
"URL","https://brigh.shopping",""
"URL","https://bring.training",""
"URL","https://bringp.digital",""
"URL","https://broeksi.shopping",""
"URL","https://bromi.shopping",""
"URL","https://bronzegrace.limited",""
"URL","https://brotheraver.cricket",""
"URL","https://broug.shopping",""
"URL","https://broug.training",""
"URL","https://brownbos.associates",""
"URL","https://brownwillin.limited",""
"URL","https://bruis.business",""
"URL","https://brush.shopping",""
"URL","https://bryoz.software",""
"URL","https://buffaloonl.discount",""
"URL","https://buildingdiv.cricket",""
"URL","https://buildweavi.builders",""
"URL","https://built.shopping",""
"URL","https://bundl.shopping",""
"URL","https://bung.properties",""
"URL","https://burdenma.associates",""
"URL","https://burdenn.market",""
"URL","https://burni.business",""
"URL","https://busypur.market",""
"URL","https://byup.shopping",""
"URL","https://cages.shopping",""
"URL","https://cakes.shopping",""
"URL","https://calamityfor.limited",""
"URL","https://calciumgall.limited",""
"URL","https://callactivit.florist",""
"URL","https://callp.shopping",""
"URL","https://calmchord.community",""
"URL","https://calyx.business",""
"URL","https://camphorquai.florist",""
"URL","https://cance.software",""
"URL","https://cannonin.associates",""
"URL","https://cantvanish.discount",""
"URL","https://canvasleani.florist",""
"URL","https://canvasslimited.business",""
"URL","https://canvassspe.discount",""
"URL","https://capsulewri.discount",""
"URL","https://capta.business",""
"URL","https://captiv.digital",""
"URL","https://captu.business",""
"URL","https://carri.training",""
"URL","https://carry.shopping",""
"URL","https://casec.software",""
"URL","https://castd.business",""
"URL","https://castleeight.cricket",""
"URL","https://castleyello.limited",""
"URL","https://catholicde.shopping",""
"URL","https://cattl.shopping",""
"URL","https://cattlebl.associates",""
"URL","https://cattlewretched.exposed",""
"URL","https://causi.software",""
"URL","https://cauti.shopping",""
"URL","https://cautionbitt.limited",""
"URL","https://cella.business",""
"URL","https://cellcarele.discount",""
"URL","https://celld.shopping",""
"URL","https://cellu.business",""
"URL","https://cellularsta.cricket",""
"URL","https://cellularste.limited",""
"URL","https://censurepouch.okinawa",""
"URL","https://centerwhere.limited",""
"URL","https://chaffsettl.discount",""
"URL","https://chairfi.market",""
"URL","https://chalklate.limited",""
"URL","https://chancedeade.limited",""
"URL","https://chanceyield.florist",""
"URL","https://changed.market",""
"URL","https://changedprisoner.cologne",""
"URL","https://changingentrails.business",""
"URL","https://chape.business",""
"URL","https://chapt.business",""
"URL","https://chapterinj.discount",""
"URL","https://chaptershea.florist",""
"URL","https://charc.business",""
"URL","https://charc.shopping",""
"URL","https://chattert.associates",""
"URL","https://cheatdecisi.limited",""
"URL","https://cheatinflamed.business",""
"URL","https://cheesediscount.business",""
"URL","https://cheri.business",""
"URL","https://children.associates",""
"URL","https://chinaderive.limited",""
"URL","https://chinamu.market",""
"URL","https://chinawitnes.cricket",""
"URL","https://chipitee.shopping",""
"URL","https://chlorines.community",""
"URL","https://choic.business",""
"URL","https://choic.software",""
"URL","https://chordvault.discount",""
"URL","https://choru.software",""
"URL","https://chorusdivid.limited",""
"URL","https://chose.training",""
"URL","https://cipherbeati.cricket",""
"URL","https://circleassum.limited",""
"URL","https://citationla.builders",""
"URL","https://citationper.limited",""
"URL","https://cityl.business",""
"URL","https://clamp.shopping",""
"URL","https://classpearly.business",""
"URL","https://clayi.business",""
"URL","https://cleanclip.discount",""
"URL","https://cleanni.shopping",""
"URL","https://clearhide.discount",""
"URL","https://clearpray.community",""
"URL","https://cleav.business",""
"URL","https://cleft.business",""
"URL","https://cleft.shopping",""
"URL","https://clerg.business",""
"URL","https://clergyrhyme.limited",""
"URL","https://clerk.business",""
"URL","https://closelysoli.limited",""
"URL","https://cloudmoll.community",""
"URL","https://cloudscallo.florist",""
"URL","https://clusterfirm.limited",""
"URL","https://coalesces.community",""
"URL","https://coars.training",""
"URL","https://coarseau.associates",""
"URL","https://coastmole.builders",""
"URL","https://cockh.business",""
"URL","https://coindisjoin.cricket",""
"URL","https://coinflo.market",""
"URL","https://colla.business",""
"URL","https://comme.shopping",""
"URL","https://commo.training",""
"URL","https://commonlype.discount",""
"URL","https://commonproof.okinawa",""
"URL","https://comparehair.florist",""
"URL","https://compe.shopping",""
"URL","https://completecom.limited",""
"URL","https://compo.shopping",""
"URL","https://conce.business",""
"URL","https://concealar.community",""
"URL","https://concealfl.community",""
"URL","https://concludepoll.business",""
"URL","https://conecrisp.limited",""
"URL","https://confi.business",""
"URL","https://confi.shopping",""
"URL","https://confinedentrance.business",""
"URL","https://confu.business",""
"URL","https://confusedreprove.cologne",""
"URL","https://confusehar.shopping",""
"URL","https://conic.business",""
"URL","https://connectfra.discount",""
"URL","https://conqu.business",""
"URL","https://consentpiec.florist",""
"URL","https://consi.shopping",""
"URL","https://consigntype.business",""
"URL","https://consumeorde.limited",""
"URL","https://containancient.cologne",""
"URL","https://conte.business",""
"URL","https://conte.shopping",""
"URL","https://contr.training",""
"URL","https://contractcanal.cologne",""
"URL","https://contrive.associates",""
"URL","https://contriveyo.shopping",""
"URL","https://conve.shopping",""
"URL","https://convertun.community",""
"URL","https://convexspeci.florist",""
"URL","https://convexyellow.business",""
"URL","https://conveymonst.cricket",""
"URL","https://convi.business",""
"URL","https://coolr.shopping",""
"URL","https://copyowner.builders",""
"URL","https://cordplunder.limited",""
"URL","https://cordslander.limited",""
"URL","https://corna.business",""
"URL","https://corne.shopping",""
"URL","https://cornercause.okinawa",""
"URL","https://cornerdive.yokohama",""
"URL","https://cornscent.business",""
"URL","https://coron.business",""
"URL","https://correctenl.shopping",""
"URL","https://correctstum.florist",""
"URL","https://cottonfooti.limited",""
"URL","https://cottonpound.limited",""
"URL","https://couns.business",""
"URL","https://counselfri.discount",""
"URL","https://counselpove.limited",""
"URL","https://counselun.community",""
"URL","https://coupl.business",""
"URL","https://couplingc.community",""
"URL","https://coura.shopping",""
"URL","https://coveredboth.limited",""
"URL","https://cowar.software",""
"URL","https://cradlevery.limited",""
"URL","https://craned.exposed",""
"URL","https://crankdiato.discount",""
"URL","https://createinclo.limited",""
"URL","https://creditordyi.florist",""
"URL","https://creepingsportive.business",""
"URL","https://crestsl.market",""
"URL","https://crimeve.market",""
"URL","https://criti.shopping",""
"URL","https://critic.exposed",""
"URL","https://criticoppos.florist",""
"URL","https://cropf.software",""
"URL","https://crowdbolste.limited",""
"URL","https://cruel.training",""
"URL","https://crueltyfinding.business",""
"URL","https://crushballas.cricket",""
"URL","https://crystaldiss.cricket",""
"URL","https://cultureappa.limited",""
"URL","https://cumgetme.supplies",""
"URL","https://cunningus.community",""
"URL","https://curbmanu.associates",""
"URL","https://cures.shopping",""
"URL","https://curlexis.associates",""
"URL","https://curre.business",""
"URL","https://curre.shopping",""
"URL","https://curse.shopping",""
"URL","https://curseenv.associates",""
"URL","https://cushionmarc.cricket",""
"URL","https://custo.business",""
"URL","https://cutte.business",""
"URL","https://cutterf.market",""
"URL","https://cyclepil.associates",""
"URL","https://dagge.business",""
"URL","https://dailysenate.florist",""
"URL","https://dange.shopping",""
"URL","https://darke.shopping",""
"URL","https://darknessdejected.business",""
"URL","https://darkrecess.markets",""
"URL","https://dashex.exposed",""
"URL","https://dateu.shopping",""
"URL","https://deale.software",""
"URL","https://dealingt.associates",""
"URL","https://dealmenta.community",""
"URL","https://dealword.builders",""
"URL","https://deathl.digital",""
"URL","https://decidefell.cricket",""
"URL","https://decidefrequ.cricket",""
"URL","https://decidegu.associates",""
"URL","https://declareabove.business",""
"URL","https://decorate.associates",""
"URL","https://decre.shopping",""
"URL","https://decrease.associates",""
"URL","https://deedmole.associates",""
"URL","https://defec.software",""
"URL","https://defectsp.associates",""
"URL","https://defen.software",""
"URL","https://defensestin.limited",""
"URL","https://defileva.associates",""
"URL","https://definepropo.cricket",""
"URL","https://defra.shopping",""
"URL","https://dejectedgrind.business",""
"URL","https://delighte.associates",""
"URL","https://demandsw.associates",""
"URL","https://densesle.industries",""
"URL","https://depositdiv.builders",""
"URL","https://depositsecr.florist",""
"URL","https://depressquick.company",""
"URL","https://depthspar.limited",""
"URL","https://descendpaper.okinawa",""
"URL","https://deser.shopping",""
"URL","https://desireprint.cologne",""
"URL","https://desirouscir.florist",""
"URL","https://desti.software",""
"URL","https://destroycher.limited",""
"URL","https://destroyvigor.business",""
"URL","https://detailco.associates",""
"URL","https://detailwr.associates",""
"URL","https://devel.shopping",""
"URL","https://developmarrow.markets",""
"URL","https://devis.business",""
"URL","https://devisehighl.limited",""
"URL","https://devoteperfume.beauty",""
"URL","https://diago.shopping",""
"URL","https://diale.shopping",""
"URL","https://dialo.business",""
"URL","https://diamondc.associates",""
"URL","https://diatonicwor.limited",""
"URL","https://differsu.associates",""
"URL","https://digni.software",""
"URL","https://dignityrecede.cologne",""
"URL","https://diligentfriend.business",""
"URL","https://dioxi.shopping",""
"URL","https://dippingq.associates",""
"URL","https://directorsu.discount",""
"URL","https://disci.shopping",""
"URL","https://discoverasc.limited",""
"URL","https://discoveryea.limited",""
"URL","https://discusswith.cricket",""
"URL","https://disda.business",""
"URL","https://disdainpa.community",""
"URL","https://diseaseddru.cricket",""
"URL","https://disgu.lighting",""
"URL","https://dishonord.community",""
"URL","https://dishonormanual.cologne",""
"URL","https://diskl.business",""
"URL","https://dislikegill.cricket",""
