"Indicator type","Indicator","Description"
"URL","https://1-gop.us",""
"URL","https://2024-win.com",""
"URL","https://22-rep.com",""
"URL","https://23-today.com",""
"URL","https://23-txt.com",""
"URL","https://allgop.us",""
"URL","https://api.blaze.link",""
"URL","https://blue-green.api.blaze.link",""
"URL","https://blue-green.blaze.link",""
"URL","https://gop-24.com",""
"URL","https://gop-us.co",""
"URL","https://gored22.com",""
"URL","https://kcctest.blaze.link",""
"URL","https://monitor.blaze.link",""
"URL","https://onegop.us",""
"URL","https://rd4us.com",""
"URL","https://red23.co",""
"URL","https://red24.us",""
"URL","https://rep-23.net",""
"URL","https://tatest.blaze.link",""
"URL","https://tppsurveys.com",""
"URL","https://truegop.us",""
"URL","https://txt-24.com",""
"URL","https://us.blaze.link",""
"URL","https://vote23.us",""
"URL","https://vote24.us",""
"URL","https://wc1.blaze.link",""
"URL","https://wc2.blaze.link",""
"URL","https://wc3.blaze.link",""
"domain","1-gop.us",""
"domain","2024-win.com",""
"domain","22-rep.com",""
"domain","23-today.com",""
"domain","23-txt.com",""
"domain","allgop.us",""
"domain","gop-24.com",""
"domain","gop-us.co",""
"domain","gored22.com",""
"domain","onegop.us",""
"domain","rd4us.com",""
"domain","red23.co",""
"domain","red24.us",""
"domain","rep-23.net",""
"domain","tppsurveys.com",""
"domain","truegop.us",""
"domain","txt-24.com",""
"domain","vote23.us",""
"domain","vote24.us",""
"hostname","api.blaze.link",""
"hostname","blue-green.api.blaze.link",""
"hostname","blue-green.blaze.link",""
"hostname","kcctest.blaze.link",""
"hostname","monitor.blaze.link",""
"hostname","tatest.blaze.link",""
"hostname","us.blaze.link",""
"hostname","wc1.blaze.link",""
"hostname","wc2.blaze.link",""
"hostname","wc3.blaze.link",""
"IPv4","75.2.108.118",""
