"Indicator type","Indicator","Description"
"domain","gopaction24.com",""
"URL","http://gopaction24.com/lqvEV",""
"URL","https://gopaction24.com/HbZZI",""
"URL","https://gopaction24.com/dvwP",""
"domain","24-schmitt.com",""
"domain","aipac-24.com",""
"domain","ballot22.org",""
"domain","bluetored24.com",""
"domain","da-07.com",""
"domain","dm24.us",""
"domain","flag-pin.org",""
"domain","flagpin.net",""
"domain","gop-us24.com",""
"domain","haley24.net",""
"domain","hogan-md.com",""
"domain","hogan4md.org",""
"domain","mccforlife.org",""
"domain","mcguireresearchtext.com",""
"domain","mcguiretextsurveys.com",""
"domain","missouri-24.com",""
"domain","mo-24.org",""
"domain","red-mo.com",""
"domain","red-us24.com",""
"domain","red-win24.com",""
"domain","redtx24.com",""
"domain","redtx24.org",""
"domain","teamtrump.vip",""
"domain","truth-social.org",""
"domain","win4tx.com",""
"domain","win4tx.org",""
"URL","http://gop-us24.com",""
"URL","http://mcguireresearchtext.com",""
"URL","http://redtx24.com",""
"URL","http://truth-social.org",""
"URL","https://24-schmitt.com",""
"URL","https://aipac-24.com",""
"URL","https://ballot22.org",""
"URL","https://dm24.us",""
"URL","https://flag-pin.org",""
"URL","https://haley24.net",""
"URL","https://mcguiretextsurveys.com",""
"URL","https://missouri-24.com",""
"URL","https://red-mo.com",""
"URL","https://red-us24.com",""
"URL","https://red-win24.com",""
"URL","https://redtx24.org",""
"URL","https://teamtrump.vip/",""
"URL","https://win4tx.org",""
"URL","http://hogan4md.org/0Qt63",""
"URL","http://hogan4md.org/MbNnB",""
"URL","https://mcguireresearchtext.com/Tu6v",""
"URL","http://teamtrump.vip/AuorJ",""
"URL","http://teamtrump.vip/vgkzF",""
"URL","https://teamtrump.vip/4AvJ6",""
"URL","https://teamtrump.vip/5sTfw",""
"URL","https://teamtrump.vip/AuorJ/",""
"URL","https://teamtrump.vip/Cs6Ba",""
"URL","https://teamtrump.vip/PaWbW",""
"URL","https://teamtrump.vip/xVnM2",""
"domain","2024asa.com",""
"domain","22-txt.com",""
"domain","22texts.com",""
"domain","24-nh.com",""
"domain","24-nh.net",""
"domain","24gop.org",""
"domain","44north.us",""
"domain","asa4gop.com",""
"domain","asa4us.com",""
"domain","asaf4asa.com",""
"domain","asafgop.com",""
"domain","asafor24.com",""
"domain","asagop.com",""
"domain","asah2024.com",""
"domain","asah24.com",""
"domain","ballot2022.democrat",""
"domain","ballot2022.digital",""
"domain","ballot2022.live",""
"domain","ballot2022.media",""
"domain","ballot2022.online",""
"domain","ballot2022.republican",""
"domain","ballot2023.com",""
"domain","ballot2023.info",""
"domain","ballot2023.net",""
"domain","ballot2023.org",""
"domain","ballot22.democrat",""
"domain","ballot22.info",""
"domain","ballot22.republican",""
"domain","ballot22.win",""
"domain","ballot23.com",""
"domain","ballot23.net",""
"domain","bcnu.info",""
"domain","bcnu.me",""
"domain","bcnu.site",""
"domain","borderdefender.com",""
"domain","cagopaction.com",""
"domain","canvass.blue",""
"domain","canvass.red",""
"domain","dansullivan.vip",""
"domain","dm24.co",""
"domain","dmpa.us",""
"domain","dmwin.co",""
"domain","dollar2debate.com",""
"domain","donate2023.today",""
"domain","donate23.com",""
"domain","donate23.org",""
"domain","donate24.co",""
"domain","donate24.org",""
"domain","dovote.win",""
"domain","dt4usa.com",""
"domain","dt4usa.us",""
"domain","elect22.info",""
"domain","elect22.live",""
"domain","elect22.me",""
"domain","elect22.net",""
"domain","elect22.org",""
"domain","elect23.co",""
"domain","elect23.info",""
"domain","elect23.net",""
"domain","elect23.org",""
"domain","elect23.site",""
"domain","elect24.co",""
"domain","elect24.net",""
"domain","election2022.info",""
"domain","election22.info",""
"domain","election22.net",""
"domain","election22.org",""
"domain","electme.democrat",""
"domain","electme.republican",""
"domain","event-conference.com",""
"domain","eventconferences.org",""
"domain","francis2024.vip",""
"domain","gift23.info",""
"domain","gift23.org",""
"domain","gift23.site",""
"domain","give23.net",""
"domain","give23.site",""
"domain","gop-txts.com",""
"domain","gop24.net",""
"domain","gop4usa.com",""
"domain","gop4usa.us",""
"domain","gopoll.info",""
"domain","gotv.today",""
"domain","gotv22.com",""
"domain","gotv22.info",""
"domain","gotv22.me",""
"domain","gotv22.net",""
"domain","gotv22.one",""
"domain","gotv22.org",""
"domain","gotv22.site",""
"domain","gotv23.com",""
"domain","gotv23.info",""
"domain","gotv23.me",""
"domain","gotv23.net",""
"domain","gotv23.org",""
"domain","gotv24.net",""
"domain","govote.info",""
"domain","govote.today",""
"domain","here-22.com",""
"domain","here-24.com",""
"domain","jb4wy.com",""
"domain","jc4usa.com",""
"domain","jc4usa.us",""
"domain","jimjordan.team",""
"domain","magateam.vip",""
"domain","nh-24.net",""
"domain","nh-24.org",""
"domain","nh24.co",""
"domain","nh4usa.com",""
"domain","nh4usa.us",""
"domain","nhwin.org",""
"domain","nikki-24.com",""
"domain","nl2024.com",""
"domain","nlpcaction.com",""
"domain","now2022.net",""
"domain","nrscaction.com",""
"domain","nrscmajority.com",""
"domain","opinionpoll.news",""
"domain","opinionpolls.news",""
"domain","pawins.co",""
"domain","poll.democrat",""
"domain","poll.house",""
"domain","poll.republican",""
"domain","poll2022.info",""
"domain","poll2022.net",""
"domain","poll2022.news",""
"domain","poll2022.org",""
"domain","poll2023.info",""
"domain","poll2023.live",""
"domain","poll2023.net",""
"domain","poll2023.org",""
"domain","poll2023.site",""
"domain","poll22.com",""
"domain","poll22.house",""
"domain","poll22.info",""
"domain","poll22.media",""
"domain","poll22.net",""
"domain","poll22.news",""
"domain","poll22.org",""
"domain","poll23.com",""
"domain","poll23.info",""
"domain","poll23.net",""
"domain","poll23.news",""
"domain","poll23.org",""
"domain","poll23.site",""
"domain","poll24.info",""
"domain","poll24.me",""
"domain","poll24.net",""
"domain","poll24.org",""
"domain","poll24.site",""
"domain","poll24.win",""
"domain","red-gop24.com",""
"domain","red-gop24.org",""
"domain","rfkjr.us",""
"domain","sambrown24.com",""
"domain","savetheusa.us",""
"domain","sfapac.info",""
"domain","survey23.com",""
"domain","surveyresearch.online",""
"domain","teamburgum24.com",""
"domain","teamfrancis24.com",""
"domain","teamsuarez24.com",""
"domain","teamtom24.com",""
"domain","textsurvey.co",""
"domain","trumpmaga.vip",""
"domain","tx-win.com",""
"domain","txred.co",""
"domain","txred.net",""
"domain","txred.org",""
"domain","txred.us",""
"domain","txwin.co",""
"domain","ucdata.ca",""
"domain","usagive.org",""
"domain","vote2022.democrat",""
"domain","vote2022.events",""
"domain","vote2022.net",""
"domain","vote2022.online",""
"domain","vote2022.republican",""
"domain","vote2022.today",""
"domain","vote2023.info",""
"domain","vote2023.net",""
"domain","vote2023.online",""
"domain","vote2023.today",""
"domain","vote22.democrat",""
"domain","vote22.events",""
"domain","vote22.info",""
"domain","vote22.net",""
"domain","vote22.red",""
"domain","vote22.republican",""
"domain","vote22.today",""
"domain","vote23.site",""
"domain","vote23.today",""
"domain","vote23.win",""
"domain","vote24.win",""
"domain","votenow.win",""
"domain","voting2022.net",""
"domain","voting2022.org",""
"domain","voting2022now.com",""
"domain","voting22.com",""
"domain","voting22.info",""
"domain","voting22.net",""
"domain","voting22.org",""
"domain","wilson24.com",""
"domain","win-nh.com",""
"domain","win-tx.com",""
"domain","wintx.co",""
"domain","wintxs.com",""
"hostname","ftp.mcguiretextsurveys.com",""
"hostname","mail.mcguiretextsurveys.com",""
"hostname","survey.nationalopinioninstitute.com",""
"hostname","text.mcguireresearch.com",""
"hostname","www.2024asa.com",""
"hostname","www.22-txt.com",""
"hostname","www.22texts.com",""
"hostname","www.24-nh.com",""
"hostname","www.24-nh.net",""
"hostname","www.24-schmitt.com",""
"hostname","www.aipac-24.com",""
"hostname","www.asa4gop.com",""
"hostname","www.asa4us.com",""
"hostname","www.asaf4asa.com",""
"hostname","www.asafgop.com",""
"hostname","www.asafor24.com",""
"hostname","www.asagop.com",""
"hostname","www.asah2024.com",""
"hostname","www.asah24.com",""
"hostname","www.bluetored24.com",""
"hostname","www.borderdefender.com",""
"hostname","www.cagopaction.com",""
"hostname","www.da-07.com",""
"hostname","www.dansullivan.vip",""
"hostname","www.dm24.co",""
"hostname","www.dm24.us",""
"hostname","www.dmpa.us",""
"hostname","www.dmwin.co",""
"hostname","www.dollar2debate.com",""
"hostname","www.donate23.org",""
"hostname","www.elect23.co",""
"hostname","www.eventconferences.org",""
"hostname","www.francis2024.vip",""
"hostname","www.gop-txts.com",""
"hostname","www.gop-us24.com",""
"hostname","www.gopaction24.com",""
"hostname","www.haley24.net",""
"hostname","www.here-22.com",""
"hostname","www.here-24.com",""
"hostname","www.hogan-md.com",""
"hostname","www.hogan4md.org",""
"hostname","www.jb4wy.com",""
"hostname","www.jimjordan.team",""
"hostname","www.magateam.vip",""
"hostname","www.mccforlife.org",""
"hostname","www.mcguiretextsurveys.com",""
"hostname","www.missouri-24.com",""
"hostname","www.mo-24.org",""
"hostname","www.nh-24.net",""
"hostname","www.nh-24.org",""
"hostname","www.nh24.co",""
"hostname","www.nhwin.org",""
"hostname","www.nikki-24.com",""
"hostname","www.nl2024.com",""
"hostname","www.nlpcaction.com",""
"hostname","www.nrscaction.com",""
"hostname","www.nrscmajority.com",""
"hostname","www.pawins.co",""
"hostname","www.red-gop24.com",""
"hostname","www.red-gop24.org",""
"hostname","www.red-mo.com",""
"hostname","www.red-us24.com",""
"hostname","www.red-win24.com",""
"hostname","www.redtx24.com",""
"hostname","www.redtx24.org",""
"hostname","www.sambrown24.com",""
"hostname","www.teamburgum24.com",""
"hostname","www.teamfrancis24.com",""
"hostname","www.teamsuarez24.com",""
"hostname","www.teamtom24.com",""
"hostname","www.teamtrump.vip",""
"hostname","www.textsurvey.co",""
"hostname","www.trumpmaga.vip",""
"hostname","www.truth-social.org",""
"hostname","www.tx-win.com",""
"hostname","www.txred.co",""
"hostname","www.txred.net",""
"hostname","www.txred.org",""
"hostname","www.txred.us",""
"hostname","www.txwin.co",""
"hostname","www.usagive.org",""
"hostname","www.wilson24.com",""
"hostname","www.win-nh.com",""
"hostname","www.win-tx.com",""
"hostname","www.win4tx.com",""
"hostname","www.win4tx.org",""
"hostname","www.wintx.co",""
"hostname","www.wintxs.com",""
"domain","gotv22.app",""
"domain","poll22.app",""
"URL","https://2024asa.com",""
"URL","https://22-txt.com",""
"URL","https://22texts.com",""
"URL","https://24-nh.com",""
"URL","https://24-nh.net",""
"URL","https://24gop.org",""
"URL","https://44north.us",""
"URL","https://asa4gop.com",""
"URL","https://asa4us.com",""
"URL","https://asaf4asa.com",""
"URL","https://asafgop.com",""
"URL","https://asafor24.com",""
"URL","https://asagop.com",""
"URL","https://asah2024.com",""
"URL","https://asah24.com",""
"URL","https://ballot2022.democrat",""
"URL","https://ballot2022.digital",""
"URL","https://ballot2022.live",""
"URL","https://ballot2022.media",""
"URL","https://ballot2022.online",""
"URL","https://ballot2022.republican",""
"URL","https://ballot2023.com",""
"URL","https://ballot2023.info",""
"URL","https://ballot2023.net",""
"URL","https://ballot2023.org",""
"URL","https://ballot22.democrat",""
"URL","https://ballot22.info",""
"URL","https://ballot22.republican",""
"URL","https://ballot22.win",""
"URL","https://ballot23.com",""
"URL","https://ballot23.net",""
"URL","https://bcnu.info",""
"URL","https://bcnu.me",""
"URL","https://bcnu.site",""
"URL","https://bluetored24.com",""
"URL","https://borderdefender.com",""
"URL","https://cagopaction.com",""
"URL","https://canvass.blue",""
"URL","https://canvass.red",""
"URL","https://da-07.com",""
"URL","https://dansullivan.vip",""
"URL","https://dm24.co",""
"URL","https://dmpa.us",""
"URL","https://dmwin.co",""
"URL","https://dollar2debate.com",""
"URL","https://donate2023.today",""
"URL","https://donate23.com",""
"URL","https://donate23.org",""
"URL","https://donate24.co",""
"URL","https://donate24.org",""
"URL","https://dovote.win",""
"URL","https://dt4usa.com",""
"URL","https://dt4usa.us",""
"URL","https://elect22.info",""
"URL","https://elect22.live",""
"URL","https://elect22.me",""
"URL","https://elect22.net",""
"URL","https://elect22.org",""
"URL","https://elect23.co",""
"URL","https://elect23.info",""
"URL","https://elect23.net",""
"URL","https://elect23.org",""
"URL","https://elect23.site",""
"URL","https://elect24.co",""
"URL","https://elect24.net",""
"URL","https://election2022.info",""
"URL","https://election22.info",""
"URL","https://election22.net",""
"URL","https://election22.org",""
"URL","https://electme.democrat",""
"URL","https://electme.republican",""
"URL","https://event-conference.com",""
"URL","https://eventconferences.org",""
"URL","https://flagpin.net",""
"URL","https://francis2024.vip",""
"URL","https://ftp.mcguiretextsurveys.com",""
"URL","https://gift23.info",""
"URL","https://gift23.org",""
"URL","https://gift23.site",""
"URL","https://give23.net",""
"URL","https://give23.site",""
"URL","https://gop-txts.com",""
"URL","https://gop-us24.com",""
"URL","https://gop24.net",""
"URL","https://gop4usa.com",""
"URL","https://gop4usa.us",""
"URL","https://gopaction24.com",""
"URL","https://gopoll.info",""
"URL","https://gotv.today",""
"URL","https://gotv22.com",""
"URL","https://gotv22.info",""
"URL","https://gotv22.me",""
"URL","https://gotv22.net",""
"URL","https://gotv22.one",""
"URL","https://gotv22.org",""
"URL","https://gotv22.site",""
"URL","https://gotv23.com",""
"URL","https://gotv23.info",""
"URL","https://gotv23.me",""
"URL","https://gotv23.net",""
"URL","https://gotv23.org",""
"URL","https://gotv24.net",""
"URL","https://govote.info",""
"URL","https://govote.today",""
"URL","https://here-22.com",""
"URL","https://here-24.com",""
"URL","https://hogan-md.com",""
"URL","https://hogan4md.org",""
"URL","https://jb4wy.com",""
"URL","https://jc4usa.com",""
"URL","https://jc4usa.us",""
"URL","https://jimjordan.team",""
"URL","https://magateam.vip",""
"URL","https://mail.mcguiretextsurveys.com",""
"URL","https://mccforlife.org",""
"URL","https://mcguireresearchtext.com",""
"URL","https://mo-24.org",""
"URL","https://nh-24.net",""
"URL","https://nh-24.org",""
"URL","https://nh24.co",""
"URL","https://nh4usa.com",""
"URL","https://nh4usa.us",""
"URL","https://nhwin.org",""
"URL","https://nikki-24.com",""
"URL","https://nl2024.com",""
"URL","https://nlpcaction.com",""
"URL","https://now2022.net",""
"URL","https://nrscaction.com",""
"URL","https://nrscmajority.com",""
"URL","https://opinionpoll.news",""
"URL","https://opinionpolls.news",""
"URL","https://pawins.co",""
"URL","https://poll.democrat",""
"URL","https://poll.house",""
"URL","https://poll.republican",""
"URL","https://poll2022.info",""
"URL","https://poll2022.net",""
"URL","https://poll2022.news",""
"URL","https://poll2022.org",""
"URL","https://poll2023.info",""
"URL","https://poll2023.live",""
"URL","https://poll2023.net",""
"URL","https://poll2023.org",""
"URL","https://poll2023.site",""
"URL","https://poll22.com",""
"URL","https://poll22.house",""
"URL","https://poll22.info",""
"URL","https://poll22.media",""
"URL","https://poll22.net",""
"URL","https://poll22.news",""
"URL","https://poll22.org",""
"URL","https://poll23.com",""
"URL","https://poll23.info",""
"URL","https://poll23.net",""
"URL","https://poll23.news",""
"URL","https://poll23.org",""
"URL","https://poll23.site",""
"URL","https://poll24.info",""
"URL","https://poll24.me",""
"URL","https://poll24.net",""
"URL","https://poll24.org",""
"URL","https://poll24.site",""
"URL","https://poll24.win",""
"URL","https://red-gop24.com",""
"URL","https://red-gop24.org",""
"URL","https://redtx24.com",""
"URL","https://rfkjr.us",""
"URL","https://sambrown24.com",""
"URL","https://savetheusa.us",""
"URL","https://sfapac.info",""
"URL","https://survey.nationalopinioninstitute.com",""
"URL","https://survey23.com",""
"URL","https://surveyresearch.online",""
"URL","https://teamburgum24.com",""
"URL","https://teamfrancis24.com",""
"URL","https://teamsuarez24.com",""
"URL","https://teamtom24.com",""
"URL","https://teamtrump.vip",""
"URL","https://text.mcguireresearch.com",""
"URL","https://textsurvey.co",""
"URL","https://trumpmaga.vip",""
"URL","https://truth-social.org",""
"URL","https://tx-win.com",""
"URL","https://txred.co",""
"URL","https://txred.net",""
"URL","https://txred.org",""
"URL","https://txred.us",""
"URL","https://txwin.co",""
"URL","https://ucdata.ca",""
"URL","https://usagive.org",""
"URL","https://vote2022.democrat",""
"URL","https://vote2022.events",""
"URL","https://vote2022.net",""
"URL","https://vote2022.online",""
"URL","https://vote2022.republican",""
"URL","https://vote2022.today",""
"URL","https://vote2023.info",""
"URL","https://vote2023.net",""
"URL","https://vote2023.online",""
"URL","https://vote2023.today",""
"URL","https://vote22.democrat",""
"URL","https://vote22.events",""
"URL","https://vote22.info",""
"URL","https://vote22.net",""
"URL","https://vote22.red",""
"URL","https://vote22.republican",""
"URL","https://vote22.today",""
"URL","https://vote23.site",""
"URL","https://vote23.today",""
"URL","https://vote23.win",""
"URL","https://vote24.win",""
"URL","https://votenow.win",""
"URL","https://voting2022.net",""
"URL","https://voting2022.org",""
"URL","https://voting2022now.com",""
"URL","https://voting22.com",""
"URL","https://voting22.info",""
"URL","https://voting22.net",""
"URL","https://voting22.org",""
"URL","https://wilson24.com",""
"URL","https://win-nh.com",""
"URL","https://win-tx.com",""
"URL","https://win4tx.com",""
"URL","https://wintx.co",""
"URL","https://wintxs.com",""
"URL","https://www.2024asa.com",""
"URL","https://www.22-txt.com",""
"URL","https://www.22texts.com",""
"URL","https://www.24-nh.com",""
"URL","https://www.24-nh.net",""
"URL","https://www.24-schmitt.com",""
"URL","https://www.aipac-24.com",""
"URL","https://www.asa4gop.com",""
"URL","https://www.asa4us.com",""
"URL","https://www.asaf4asa.com",""
"URL","https://www.asafgop.com",""
"URL","https://www.asafor24.com",""
"URL","https://www.asagop.com",""
"URL","https://www.asah2024.com",""
"URL","https://www.asah24.com",""
"URL","https://www.bluetored24.com",""
"URL","https://www.borderdefender.com",""
"URL","https://www.cagopaction.com",""
"URL","https://www.da-07.com",""
"URL","https://www.dansullivan.vip",""
"URL","https://www.dm24.co",""
